Event,Date,Heat,Type,Meters,raceid,eventid,Finishers
"לרוץ עם פסקל, הר איתן",23/08/2018,"4 ק""מ",,4000,30898,9236,104
"לרוץ עם פסקל, הר איתן",23/08/2018,"2 ק""מ",2K,2000,30899,9236,68
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ  גברים",,8000,30900,9236,240
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ נשים",,8000,30901,9236,53
JAYBIRD Desert Night Run,26/07/2018,חצי מרתון,,21000,30806,9218,251
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ",10K,10000,30807,9218,508
JAYBIRD Desert Night Run,26/07/2018,"5 ק""מ",5K,5000,30808,9218,186
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ הליכה",10K,10000,30809,9218,54
"מרוץ ראמוס, כפר מעאר",14/07/2018,"4 ק""מ",,4000,30534,9189,198
מרוץ נחל,12/07/2018,10 קילומטר ריצה,10K,10000,30532,9188,429
מרוץ נחל,12/07/2018,חצי מרתון,H.Marathon,21097,30533,9188,222
מרוץ נחל,12/07/2018,5 קילומטר ריצה,5K,5000,30531,9188,430
מרוץ שערי תקווה ה-1,05/07/2018,05KM,5K,5000,30528,9185,90
מרוץ לילה ערד מצדה 2018,29/06/2018,חצי מרתון,H.Marathon,21097,30474,9175,693
מרוץ לילה ערד מצדה 2018,29/06/2018,"11 ק""מ",,11000,30475,9175,514
מרוץ שדרות ה-1,21/06/2018,10KM,,10000,30397,9164,349
מרוץ שדרות ה-1,21/06/2018,05KM,,5000,30398,9164,258
מרוץ סיום העונה,15/06/2018,05KM,,5000,29996,9128,401
מרוץ מרום הגליל ה-6,08/06/2018,10KM,10K,10000,29951,9117,95
מרוץ מרום הגליל ה-6,08/06/2018,05KM,5K,5000,29952,9117,136
מרוץ כפר יונה ה-1,07/06/2018,02KM,2K,2000,29950,9116,323
מרוץ לילה כפר סבא,07/06/2018,"7.5 ק""מ",,7500,29953,9118,691
מרוץ לילה כפר סבא,07/06/2018,"3 ק""מ",,3000,29954,9118,948
מרוץ כפר יונה ה-1,07/06/2018,10KM,10K,10000,29948,9116,139
מרוץ כפר יונה ה-1,07/06/2018,05KM,5K,5000,29949,9116,248
REEFITNESS חיפה 2018,01/06/2018,"ריצה 5 ק""מ",5K,5000,29871,9099,120
מרוץ MS ישראל 2018,01/06/2018,10KM,10K,10000,29870,9098,235
מרוץ ערב אשדוד,31/05/2018,"5 ק""מ",5K,5000,29869,9097,285
מרוץ בית שמש 2018,30/05/2018,02KM,2K,2000,29868,9096,146
מרוץ בית שמש 2018,30/05/2018,05KM,5K,5000,29867,9096,600
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 10 ק""מ",10K,10000,29660,9076,54
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 5 ק""מ",5K,5000,29661,9076,50
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"15 ק""מ",15K,15000,29656,9075,22
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"10 ק""מ",10K,10000,29657,9075,70
מרוץ גני תקווה ה-1,25/05/2018,10KM,10K,10000,29639,9072,427
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"5 ק""מ",5K,5000,29658,9075,65
מרוץ גני תקווה ה-1,25/05/2018,05KM,5K,5000,29640,9072,308
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"עממי 2 ק""מ",2K,2000,29659,9075,11
מרוץ מטריקס ה-3,24/05/2018,10KM,10K,10000,29636,9071,514
מרוץ מטריקס ה-3,24/05/2018,05KM,5K,5000,29637,9071,298
מרוץ מטריקס ה-3,24/05/2018,04KM,,4000,29638,9071,96
מרוץ הערב של מיתר,24/05/2018,"10 ק""מ",10K,10000,29632,9070,111
מרוץ הערב של מיתר,24/05/2018,"5 ק""מ",5K,5000,29633,9070,168
מרוץ הערב של מיתר,24/05/2018,"2 ק""מ",2K,2000,29634,9070,263
מרוץ כפר תבור,23/05/2018,10k,10K,10000,29642,9073,11
מרוץ כפר תבור,23/05/2018,2k,2K,2000,29643,9073,35
מרוץ כפר תבור,23/05/2018,5k,5K,5000,29641,9073,43
מרוץ רהט,18/05/2018,5k,5K,5000,29318,8760,84
מרוץ הכפר ה-5,18/05/2018,10KM,10K,10000,29314,8758,54
מרוץ הכפר ה-5,18/05/2018,05KM,5K,5000,29315,8758,93
מרוץ כהילה,17/05/2018,10KM,10K,10000,29316,8759,79
מרוץ כהילה,17/05/2018,05KM,5K,5000,29317,8759,168
מרוץ יגור 2018,12/05/2018,10k,10K,10000,29311,8756,47
מרוץ ג' למען מלאכיות הדממה,12/05/2018,10k,10K,10000,29306,8755,179
מרוץ ג' למען מלאכיות הדממה,12/05/2018,2k,2K,2000,29307,8755,156
מרוץ ג' למען מלאכיות הדממה,12/05/2018,5k,5K,5000,29308,8755,164
מרוץ עופרה 2018,11/05/2018,"5 ק""מ נשים",5K,5000,29273,8749,12
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"15 ק""מ",15K,15000,29254,8746,416
מרוץ התבור 2018,11/05/2018,5.6k IDF,,5600,29280,8750,119
מרוץ עופרה 2018,11/05/2018,"2 ק""מ גברים",2K,2000,29274,8749,27
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"10 ק""מ",10K,10000,29255,8746,561
מרוץ מהמדבר לים 2018,11/05/2018,25k,,25000,29281,8751,114
מרוץ עופרה 2018,11/05/2018,"2 ק""מ נשים",2K,2000,29275,8749,15
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"5 ק""מ",5K,5000,29256,8746,420
מרוץ מהמדבר לים 2018,11/05/2018,D2S,,50000,29282,8751,189
מרוץ התבור 2018,11/05/2018,10.6k,,10600,29276,8750,223
אליפות אפרת גוש עציון,11/05/2018,חצי מרתון,H.Marathon,21097,29257,8747,95
מרוץ גבעת שמואל 2018,11/05/2018,10KM,10K,10000,29251,8745,504
מרוץ בית אריה 2018,11/05/2018,21k,,21000,29301,8753,18
מרוץ התבור 2018,11/05/2018,5.6k,,5600,29277,8750,111
אליפות אפרת גוש עציון,11/05/2018,"10 ק""מ",10K,10000,29258,8747,159
מרוץ גבעת שמואל 2018,11/05/2018,05KM,5K,5000,29252,8745,542
מרוץ בית אריה 2018,11/05/2018,5k,5K,5000,29302,8753,98
מרוץ התבור 2018,11/05/2018,2k,2K,2000,29278,8750,50
אליפות אפרת גוש עציון,11/05/2018,"5 ק""מ",5K,5000,29259,8747,408
מרוץ עופרה 2018,11/05/2018,"5 ק""מ גברים",5K,5000,29272,8749,34
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,חצי מרתון,H.Marathon,21097,29253,8746,170
מרוץ בית אריה 2018,11/05/2018,10k,10K,10000,29303,8753,51
מרוץ התבור 2018,11/05/2018,10.6k IDF,,10600,29279,8750,149
מרוץ טלמונים 2018,10/05/2018,10KM,10K,10000,29248,8744,62
מרוץ טלמונים 2018,10/05/2018,05KM,5K,5000,29249,8744,219
מרוץ טלמונים 2018,10/05/2018,02KM,2K,2000,29250,8744,134
מרוץ טירת הכרמל,03/05/2018,"5 ק""מ",5K,5000,29262,8748,63
מרוץ הלילה של באר שבע 2018,30/04/2018,10k,10K,10000,29105,8728,1484
מרוץ אקדמיית השוטרים 2018,30/04/2018,10KM,10K,10000,29304,8754,10
מרוץ אקדמיית השוטרים 2018,30/04/2018,05KM,5K,5000,29305,8754,402
מרוץ הלילה של באר שבע 2018,30/04/2018,5k,5K,5000,29104,8728,1497
מרוץ הרצליה 2018,28/04/2018,05KM,5K,5000,29006,8707,441
מרוץ הרצליה 2018,28/04/2018,02KM,2K,2000,29007,8707,885
מרוץ עיינות 2018,28/04/2018,"10 ק""מ",10K,10000,29008,8708,118
מרוץ עיינות 2018,28/04/2018,"4 ק""מ",,4000,29009,8708,276
מרוץ הרצליה 2018,28/04/2018,10KM,10K,10000,29005,8707,1614
מרוץ יאנוח ג'ת,27/04/2018,2k,2K,2000,29107,8729,49
"מרוץ AIS ביה""ס האמריקאי 2018",21/04/2018,4K,,4000,28951,8689,149
מרוץ שפיר 2018,20/04/2018,10B,10K,10000,28980,8701,28
מרוץ שפיר 2018,20/04/2018,10k,10K,10000,28981,8701,151
מרוץ שפיר 2018,20/04/2018,5k,5K,5000,28982,8701,141
מרוץ צהלה 2018,14/04/2018,2.5k,,2500,28934,8682,287
מרוץ צהלה 2018,14/04/2018,10k,10K,10000,28935,8682,194
מרוץ צהלה 2018,14/04/2018,5.4k,,5400,28936,8682,181
מרוץ הרי הגעש 2018,13/04/2018,15k,15K,15000,28921,8678,459
מרוץ שדמות דבורה לזכר נדב ריימונד,13/04/2018,"10 ק""מ",10K,10000,28909,8673,140
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"10 ק""מ",10K,10000,28916,8677,152
מרוץ אליצור השומרון ה-7,13/04/2018,10KM,10K,10000,28910,8674,143
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"5 ק""מ",5K,5000,28917,8677,161
מרוץ אליצור השומרון ה-7,13/04/2018,05KM,5K,5000,28911,8674,102
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,"10 ק""מ",10K,10000,28905,8672,349
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"2 ק""מ בנים",2K,2000,28918,8677,87
בשבילי עמק המעיינות יום ו,13/04/2018,משולב 10+10,10K,10000,28948,8688,31
מרוץ רמלה,13/04/2018,10k,,10000,28912,8675,259
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,"5 ק""מ",5K,5000,28906,8672,389
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"2 ק""מ בנות",2K,2000,28919,8677,138
בשבילי עמק המעיינות יום ו,13/04/2018,"5 ק""מ לזכר אבנר",5K,5000,28949,8688,34
מרוץ רמלה,13/04/2018,5k,,5000,28913,8675,215
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,"2 ק""מ",2K,2000,28907,8672,284
מרוץ הרי הגעש 2018,13/04/2018,30k,,30000,28920,8678,325
בשבילי עמק המעיינות יום ו,13/04/2018,"10 ק""מ בוקר",10K,10000,28950,8688,71
מרוץ אלוני יצחק 2018,13/04/2018,"10 ק""מ",10K,10000,28914,8676,82
מרוץ שבילי עמק המעיינות 2018,12/04/2018,"10 ק""מ בוקר",10K,10000,28945,8687,3
מרוץ שבילי עמק המעיינות 2018,12/04/2018,"50 ק""מ",,50000,28943,8687,12
מרוץ שבילי עמק המעיינות 2018,12/04/2018,"10 ק""מ לזכר אבנר ערב",10K,10000,28944,8687,25
מרוץ לכיש ה-2,05/04/2018,10KM,10K,10000,28770,8649,115
מרוץ לכיש ה-2,05/04/2018,05KM,5K,5000,28771,8649,137
מרוץ לכיש ה-2,05/04/2018,02KM,2K,2000,28772,8649,48
מרוץ הטכניון 2018,28/03/2018,05KM,5K,5000,28670,8637,726
מרוץ מעגן מיכאל 2018,24/03/2018,"5 ק""מ ריצה",5K,5000,28654,8628,99
מרוץ מעגן מיכאל 2018,24/03/2018,"5 ק""מ הליכה",5K,5000,28655,8628,35
מרוץ מעגן מיכאל 2018,24/03/2018,"2 ק""מ",2K,2000,28656,8628,321
מרוץ מעגן מיכאל 2018,24/03/2018,"10 ק""מ",10K,10000,28653,8628,83
מרוץ מזכרת בתיה ה-6,23/03/2018,5k,5K,5000,28641,8624,108
מרוץ בנימין ה-9,23/03/2018,10KM,10K,10000,28642,8625,97
מרוץ בנימין ה-9,23/03/2018,05KM,5K,5000,28643,8625,99
מרוץ הנגב ה-6,23/03/2018,5k,5K,5000,28657,8629,37
לרוץ ברוח טובה 2018,23/03/2018,"ריצה 10 ק""מ",10K,10000,28651,8627,245
מרוץ הנגב ה-6,23/03/2018,2k,2K,2000,28658,8629,22
לרוץ ברוח טובה 2018,23/03/2018,"ריצה 3.5 ק""מ",5K,5000,28652,8627,439
מרוץ מזכרת בתיה ה-6,23/03/2018,2k,2K,2000,28639,8624,38
מרוץ מזכרת בתיה ה-6,23/03/2018,10k,10K,10000,28640,8624,209
מרוץ נשים של תל-אביב,21/03/2018,"נשים 12 ק""מ",,12000,28636,8623,1402
מרוץ נשים של תל-אביב,21/03/2018,"נשים 8 ק""מ",,8000,28637,8623,1973
מרוץ נשים של תל-אביב,21/03/2018,"נשים 4 ק""מ",,4000,28638,8623,1929
מרוץ עין גדי 2018,17/03/2018,2k,2K,2000,28550,8586,83
מרוץ עין גדי 2018,17/03/2018,21k,H.Marathon,21097,28549,8586,180
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,"5 ק""מ",5K,5000,28555,8587,146
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,"10 ק""מ",10K,10000,28554,8587,355
מרוץ עין גדי 2018,17/03/2018,10k,10K,10000,28547,8586,216
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,חצי מרתון,H.Marathon,21097,28553,8587,247
מרוץ עין גדי 2018,17/03/2018,10w,10K,10000,28552,8586,28
מרוץ עין גדי 2018,17/03/2018,5k,5K,5000,28551,8586,77
"מירוץ עדנים ה - 6, 2018",16/03/2018,"5 ק""מ ריצה",5K,5000,28537,8583,156
מרוץ דימונה 2018,16/03/2018,5k,5K,5000,28543,8585,58
"מירוץ עדנים ה - 6, 2018",16/03/2018,"10 ק""מ ריצה",10K,10000,28536,8583,96
מרוץ הגליל העליון 2018,16/03/2018,"5 ק""מ",5K,5000,28542,8584,168
"מירוץ עדנים ה - 6, 2018",16/03/2018,חצי מרתון,H.Marathon,21097,28535,8583,23
מרוץ הגליל העליון 2018,16/03/2018,"15 ק""מ",15K,15000,28541,8584,212
מרוץ ראש העין 2018,16/03/2018,02KM,2K,2000,28561,8581,142
מרוץ ראש העין 2018,16/03/2018,10KM,10K,10000,28531,8581,161
"מירוץ עדנים ה - 6, 2018",16/03/2018,"10 ק""מ רכיבה",10K,10000,28540,8583,2
מרוץ נס ציונה 2018,16/03/2018,2k,2K,2000,28560,8589,296
מרוץ דימונה 2018,16/03/2018,10k,10K,10000,28546,8585,67
מרוץ רעננה 2018,16/03/2018,"ריצה 10 ק""מ",10K,10000,28533,8582,1048
"מירוץ עדנים ה - 6, 2018",16/03/2018,"25 ק""מ רכיבה",5K,5000,28539,8583,32
מרוץ נס ציונה 2018,16/03/2018,5k,5K,5000,28559,8589,275
מרוץ דימונה 2018,16/03/2018,2k,2K,2000,28545,8585,319
מרוץ ראש העין 2018,16/03/2018,05KM,5K,5000,28532,8581,265
מרוץ נס ציונה 2018,16/03/2018,10k,10K,10000,28558,8589,328
מרוץ דימונה 2018,16/03/2018,21k,H.Marathon,21097,28544,8585,53
מרוץ אבן יהודה 2018,10/03/2018,10KM,10K,10000,28512,8571,67
מרוץ עומר 2018,10/03/2018,"2 ק""מ",2K,2000,28524,8578,183
"מרוץ כפר סבא ע""ש רס""ל זיו בלאלי ז""ל",10/03/2018,"ריצה 10 ק""מ",10K,10000,28529,8580,780
מרוץ עומר 2018,10/03/2018,"5 ק""מ",5K,5000,28523,8578,55
מרוץ עומר 2018,10/03/2018,"10 ק""מ",10K,10000,28522,8578,75
מרוץ אבן יהודה 2018,10/03/2018,1.6KM,,1600,28515,8571,220
מרוץ אבן יהודה 2018,10/03/2018,02KM,2K,2000,28514,8571,580
מרוץ אבן יהודה 2018,10/03/2018,05KM,5K,5000,28513,8571,268
Jerusalem Marathon,09/03/2018,10 KM,10K,10000,28497,8568,8121
Jerusalem Marathon,09/03/2018,Half Marathon,H.Marathon,21097,28496,8568,4098
מרוץ בבלי 2018,09/03/2018,800,,800,28502,8569,333
Jerusalem Marathon,09/03/2018,Marathon,Marathon,42195,28495,8568,1260
מרוץ בבלי 2018,09/03/2018,1200,,1200,28501,8569,294
מרוץ בבלי 2018,09/03/2018,3000,,3000,28500,8569,95
מרוץ בבלי 2018,09/03/2018,5000,5K,5000,28499,8569,58
Jerusalem Marathon,09/03/2018,5 KM,5K,5000,28498,8568,5283
רצים לדרום הפורח,03/03/2018,"5 ק""מ גברים",5K,5000,28446,8557,38
רצים לדרום הפורח,03/03/2018,"5 ק""מ נשים",5K,5000,28445,8557,52
רצים לדרום הפורח,03/03/2018,"14 ק""מ גברים",,14000,28444,8557,43
רצים לדרום הפורח,03/03/2018,"14 ק""מ נשים",,14000,28443,8557,26
מרוץ עיר האבות ה-10,23/02/2018,02KM,2K,2000,28170,8285,47
מרתון סמסונג תל-אביב 2018,23/02/2018,"10 ק""מ",10K,10000,28163,8283,13774
מרתון סמסונג תל-אביב 2018,23/02/2018,"5 ק""מ",5K,5000,28165,8283,2
מרוץ עיר האבות ה-10,23/02/2018,21.1KM,,21000,28167,8285,14
מרוץ עיר האבות ה-10,23/02/2018,10KM,10K,10000,28168,8285,33
מרתון סמסונג תל-אביב 2018,23/02/2018,מרתון,Marathon,42195,28161,8283,2168
מרוץ עיר האבות ה-10,23/02/2018,05KM,5K,5000,28169,8285,88
מרתון סמסונג תל-אביב 2018,23/02/2018,חצי מרתון,H.Marathon,21097,28162,8283,8769
מירוץ הכלניות החמישי,16/02/2018,5k,5K,5000,27851,8248,262
מרוץ אור יהודה 2018,16/02/2018,5K,5K,5000,27847,8247,220
מירוץ הכלניות החמישי,16/02/2018,15k,15K,15000,27848,8248,95
מירוץ הכלניות החמישי,16/02/2018,10k,10K,10000,27849,8248,137
מירוץ הכלניות החמישי,16/02/2018,2k,2K,2000,27850,8248,166
מרוץ אור יהודה 2018,16/02/2018,10K,10K,10000,27846,8247,412
מרוץ נתיבות 2018,09/02/2018,5K,5K,5000,27844,8246,131
מרוץ לוד 2018,09/02/2018,5k,5K,5000,27838,8244,269
מרוץ לוד 2018,09/02/2018,10k,10K,10000,27839,8244,331
מרוץ לוד 2018,09/02/2018,"5k מג""ב",5K,5000,27840,8244,367
מרוץ נתיבות 2018,09/02/2018,10k,10K,10000,27845,8246,123
מרוץ ירוחם 2018,02/02/2018,10k,10K,10000,27842,8245,151
מרוץ ירוחם 2018,02/02/2018,5k,5K,5000,27843,8245,175
"מרוץ הבית ה-3 ע""ש עומר מנוס",19/01/2018,"21.1 ק""מ ריצה תחרותית",H.Marathon,21097,27496,8162,214
"מרוץ הבית ה-3 ע""ש עומר מנוס",19/01/2018,"10 ק""מ ריצה תחרותית",10K,10000,27494,8162,388
"מרוץ הבית ה-3 ע""ש עומר מנוס",19/01/2018,"5 ק""מ ריצה תחרותית",5K,5000,27495,8162,163
International Tiberias Winner Marathon 2018,07/01/2018,10km,10K,10000,27483,8157,787
International Tiberias Winner Marathon 2018,07/01/2018,Half Marathon,H.Marathon,21097,27482,8157,1261
International Tiberias Winner Marathon 2018,07/01/2018,Marathon,Marathon,42195,27481,8157,1359
מרוץ הוד השרון ה-9,29/12/2017,"5 ק""מ ריצה תחרותית",5K,5000,27212,7891,415
מרוץ הוד השרון ה-9,29/12/2017,"10 ק""מ ריצה תחרותית",10K,10000,27211,7891,478
מרוץ התחתונים ה-7,29/12/2017,5k,5K,5000,27492,8161,509
מרוץ התחתונים ה-7,29/12/2017,10k,10K,10000,27493,8161,509
"מרוץ הערבה ע""ש יוני פרידמן",26/12/2017,חצי מרתון,H.Marathon,21097,27478,8156,77
"מרוץ הערבה ע""ש יוני פרידמן",26/12/2017,5קמ,,5000,27480,8156,127
"מרוץ הערבה ע""ש יוני פרידמן",26/12/2017,10קמ,,10000,27479,8156,120
Christmas run 2017,22/12/2017,"10 ק""מ ריצה תחרותית",10K,10000,27103,7878,170
Christmas run 2017,22/12/2017,"2 ק""מ ריצה תחרותית",2K,2000,27105,7878,239
Christmas run 2017,22/12/2017,"5 ק""מ ריצה תחרותית",5K,5000,27104,7878,229
מרוץ אלישע דגניה ב' 2017,16/12/2017,"10 ק""מ",10K,10000,27100,7877,22
מרוץ אלישע דגניה ב' 2017,16/12/2017,"5 ק""מ",5K,5000,27101,7877,26
מרוץ אלישע דגניה ב' 2017,16/12/2017,1500 מטר,,1500,27102,7877,64
מרוץ יקנעם ה-1,15/12/2017,"5 ק""מ ריצה תחרותית",5K,5000,27099,7876,248
מרוץ יקנעם ה-1,15/12/2017,"10 ק""מ ריצה תחרותית",10K,10000,27098,7876,250
"מרוץ הלפיד בסוסיא ע""ש דרור ויינברג 2017",11/12/2017,"10 ק""מ ריצה תחרותית",10K,10000,27097,7875,129
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"5 ק""מ",5K,5000,26674,7829,102
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"2.5 ק""מ",5K,5000,26675,7829,11
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"10 ק""מ",10K,10000,26673,7829,59
Moon Run 2017,08/12/2017,21k day,,21000,26662,7828,73
Moon Run 2017,08/12/2017,5k,5K,5000,26663,7828,81
Moon Run 2017,08/12/2017,21k,,21000,26664,7828,84
Moon Run 2017,08/12/2017,10k,10K,10000,26661,7828,115
חצי מרתון עמק המעיינות,01/12/2017,חצי מרתון,H.Marathon,21097,26569,7764,2478
חצי מרתון עמק המעיינות,01/12/2017,"6 ק""מ",,6000,26570,7764,219
חצי מרתון עמק המעיינות,01/12/2017,אופני יד 1/2 מרתון,Marathon,42195,26571,7764,46
מרוץ בניה ה-12 בקרני שומרון,01/12/2017,"10 ק""מ ריצה תחרותית",10K,10000,26576,7765,211
מרוץ עמיצור 2017,28/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26654,7825,295
מרוץ שפיים 2017,25/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26544,7757,23
מרוץ שפיים 2017,25/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26545,7757,32
מרוץ שפיים 2017,25/11/2017,"5 ק""מ הליכה תחרותית",5K,5000,26546,7757,25
מרוץ שפיים 2017,25/11/2017,"2 ק""מ ריצה תחרותית",2K,2000,26547,7757,94
חצי מרתון השרון 2017,24/11/2017,5 קמ,5K,5000,26543,7756,675
"מרוץ באר יעקב ה-1 ע""ש סולומון גברייה",24/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26536,7754,198
"מרוץ באר יעקב ה-1 ע""ש סולומון גברייה",24/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26537,7754,162
חצי מרתון השרון 2017,24/11/2017,חצי מרתון,H.Marathon,21097,26541,7756,261
מרוץ העגור 2017,24/11/2017,10k,10K,10000,26534,7753,1072
חצי מרתון השרון 2017,24/11/2017,"10ק""מ",,10000,26542,7756,417
מרוץ העגור 2017,24/11/2017,21k,H.Marathon,21097,26535,7753,630
"מרוץ להבים ה 30 ע""ש סגן שי ארבלי",17/11/2017,"5 ק""מ",5K,5000,26521,7749,71
"מרוץ להבים ה 30 ע""ש סגן שי ארבלי",17/11/2017,"3 ק""מ",,3000,26522,7749,130
Desert Marathon 2017,17/11/2017,Marathon,Marathon,42195,26523,7750,410
Desert Marathon 2017,17/11/2017,Half Marathon,H.Marathon,21097,26524,7750,747
Desert Marathon 2017,17/11/2017,"10 ק""מ",10K,10000,26525,7750,457
"מרוץ האוניברסיטה ה-8 ע""ש נועם גולדמן",17/11/2017,"5 ק""מ ריצה תחרותית",,5000,26519,7748,664
Desert Marathon 2017,17/11/2017,"5 ק""מ",5K,5000,26526,7750,144
"מרוץ להבים ה 30 ע""ש סגן שי ארבלי",17/11/2017,"10 ק""מ",10K,10000,26520,7749,91
ULTRAMAN RIDLEY 2017,14/11/2017,Ultra Run 100k,,100000,26530,7752,7
מרוץ אייל 2017,11/11/2017,"15 ק""מ",15K,15000,26510,7744,2871
מרוץ אייל 2017,11/11/2017,"5 ק""מ",5K,5000,26511,7744,674
מרוץ אייל 2017,11/11/2017,"2 ק""מ",2K,2000,26512,7744,461
ביכורי ים,10/11/2017,3 קילומטר,,3000,26509,7743,158
המרוץ היהודי ערבי,10/11/2017,5k - Normal,5K,5000,26489,7740,354
המרוץ היהודי ערבי,10/11/2017,5k - Olympic,5K,5000,26490,7740,149
מרוץ אינטל ה-3,10/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26491,7741,58
מרוץ אינטל ה-3,10/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26492,7741,67
ביכורי ים,10/11/2017,10 קילומטר,,10000,26507,7743,44
מרוץ השלום לזכרו של רבין 2017,08/11/2017,"3.25 ק""מ ריצה תחרותית",,3250,26486,7737,169
מרוץ הדיפלומטים ה-2,05/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26488,7739,74
מרוץ טבעון,03/11/2017,5k,5K,5000,26449,7730,12
מרוץ מודיעין ה-13,03/11/2017,"21.1 ק""מ ריצה תחרותית",H.Marathon,21097,26444,7729,300
מרוץ חיפה 2017,03/11/2017,חצי מרתון,H.Marathon,21097,26439,7727,591
מרוץ מודיעין ה-13,03/11/2017,"10 ק""מ ריצה תחרותית",10K,10000,26445,7729,469
מרוץ חיפה 2017,03/11/2017,"10 ק""מ",10K,10000,26440,7727,993
מרוץ מודיעין ה-13,03/11/2017,"5 ק""מ ריצה תחרותית",5K,5000,26446,7729,886
מרוץ חיפה 2017,03/11/2017,"5 ק""מ",5K,5000,26441,7727,692
מרוץ טבעון,03/11/2017,1k,,1000,26447,7730,206
"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'",03/11/2017,"ריצה 10 ק""מ",,10000,26442,7728,343
"מרוץ הספארי רמת גן ע""ש דוד מלמדוביץ'",03/11/2017,"ריצה 5 ק""מ",,5000,26443,7728,346
מרוץ הלילה של תל-אביב 2017,31/10/2017,"10 ק""מ",10K,10000,26437,7725,17605
מרוץ גיא,28/10/2017,3 קילומטר,,3000,26432,7722,136
מרוץ משגב 2017,28/10/2017,5k,5K,5000,26426,7721,79
מרוץ גיא,28/10/2017,2 קילומטר,2K,2000,26433,7722,215
מרוץ משגב 2017,28/10/2017,10k,10K,10000,26427,7721,78
מרוץ משגב 2017,28/10/2017,2k,2K,2000,26428,7721,68
מרוץ משגב 2017,28/10/2017,15k,15K,15000,26429,7721,35
מרוץ גיא,28/10/2017,10 קילומטר,10K,10000,26430,7722,147
מרוץ גיא,28/10/2017,5 קילומטר,5K,5000,26431,7722,186
מרוץ כוכב יאיר צור יגאל 2017,27/10/2017,"10 ק""מ",,10000,26403,7716,88
מרוץ כוכב יאיר צור יגאל 2017,27/10/2017,"5 ק""מ",,5000,26404,7716,181
מרוץ כוכב יאיר צור יגאל 2017,27/10/2017,"2.5 ק""מ",,2500,26405,7716,387
חצי מרתון גליל מערבי,27/10/2017,חצי מרתון,H.Marathon,21097,26399,7715,127
חצי מרתון גליל מערבי,27/10/2017,"10 ק""מ",10K,10000,26400,7715,162
חצי מרתון גליל מערבי,27/10/2017,"5 ק""מ",,5000,26401,7715,148
מרוץ בית יצחק 2017,20/10/2017,5k,5K,5000,26391,7710,155
port2port 2017,20/10/2017,1.8km,,1800,26374,7705,304
מרוץ בית יצחק 2017,20/10/2017,2k,2K,2000,26392,7710,145
מרוץ חבר,20/10/2017,"15ק""מ",,15000,26371,7704,689
מרוץ חבר,20/10/2017,"10ק""מ",,10000,26372,7704,1001
מרוץ חבר,20/10/2017,"5 ק""מ",,5000,26373,7704,773
מרוץ בית יצחק 2017,20/10/2017,10k,10K,10000,26390,7710,107
מרוץ דקל הטום - אילת 2017,20/10/2017,10 קמ ריצה,,10000,26376,7706,331
ספורטיאדה יום I,18/10/2017,"ריצה 5 ק""מ",5K,5000,26367,7703,211
מרוץ רצים בדרכם 2017,17/10/2017,"8 ק""מ ריצה תחרותית",,8000,26365,7702,129
מרוץ רצים בדרכם 2017,17/10/2017,"4 ק""מ ריצה תחרותית",,4000,26366,7702,123
