MarathonResultInSecondsNormalized,ImprovementRate,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
0.500579822,0.124608997,15000,0.384540435,-21,10000,0.367401216,-79,N
0.587089293,0.222002692,21097,0.394116971,-84,10000,0.336056231,-16,N
0.485233407,0.134549459,15000,0.433166771,-14,21097,0.268201126,-7,N
0.661885097,0.229894288,21097,0.491899345,-84,21097,0.372082274,-28,N
0.545995671,0.077332332,42195,0.597099171,-61,21097,0.340227508,-37,N
0.465862069,0.169850625,21097,0.331954498,-35,10000,0.260068389,-16,N
0.589838044,-0.003831258,42195,0.594511017,-21,42195,0.592827586,-49,Y
0.513258601,0.218579424,21097,0.293462025,-84,15000,0.295896328,-20,N
0.501619562,0.085791557,21097,0.344759459,-21,42195,0.486896552,-49,N
0.648119974,0.324857386,21097,0.330528181,-98,10000,0.315996996,-17,N
0.505176246,0.254375723,10000,0.275166192,-6,21097,0.226434855,-113,N
0.382141477,-0.048729868,42195,0.413034483,-49,10000,0.448708207,-51,Y
0.608792798,0.159591026,5000,0.382777501,-22,42195,0.515626041,-27,N
0.560114322,0.285967488,10000,0.267492028,-21,10000,0.28080164,-49,N
0.567412881,0.14425275,42195,0.569376965,-47,10000,0.276943297,-68,N
0.429586207,0.145751497,15000,0.251835853,-55,21097,0.315833566,-8,N
0.60159632,-0.028841817,42195,0.660508585,-14,21097,0.600367689,-84,Y
0.555668466,0.070574694,15000,0.373497889,-42,42195,0.596689655,-28,N
0.486560893,0.12814125,21097,0.376996438,-84,21097,0.339842847,-28,N
0.462,0.143946516,42195,0.364256716,-49,15000,0.271850252,-6,N
0.539840368,0.043920813,42195,0.593240926,-61,21097,0.398598185,-37,N
0.465713181,0.112547782,21097,0.264506492,-84,42195,0.441824307,-14,N
0.426137931,0.166473021,21097,0.267493968,-35,15000,0.251835853,-20,N
0.494240433,0.094924428,42195,0.541793103,-49,10000,0.256838906,-51,N
0.64745671,0.137167955,42195,0.607041947,-14,21097,0.413535562,-84,N
0.501492537,0.07200365,5000,0.209731544,-14,42195,0.649246231,-7,N
0.522664383,0.067475161,42195,0.428336729,-21,42195,0.482041714,-49,N
0.637445887,0.197225595,42195,0.604723611,-14,21097,0.275716975,-98,N
0.473241379,0.157898119,21097,0.315063771,-35,15000,0.31562275,-20,N
0.534533745,0.155706161,10000,0.313924051,-13,15000,0.443731118,-8,N
0.514639568,-0.069767814,42195,0.569849246,-21,42195,0.598965517,-49,Y
0.645767298,0.157682105,15000,0.394446249,-21,42195,0.581724138,-28,N
0.488206897,0.214754283,21097,0.339078479,-35,10000,0.207826748,-16,N
0.491521118,0.102044077,42195,0.383919598,-21,42195,0.395034483,-49,N
0.532359479,0.01368306,42195,0.554387321,-21,42195,0.482965517,-49,N
0.384438457,-0.066373826,21097,0.432976601,-27,42195,0.468647964,-22,Y
0.543950522,0.261123329,10000,0.291505352,-49,10000,0.274149034,-7,N
0.33805508,-0.084071367,42195,0.377603996,-21,42195,0.466648897,-49,Y
0.397862554,-0.166488733,42195,0.388466275,-14,42195,0.740236298,-98,Y
0.44452497,-0.050396385,42195,0.525859236,-21,42195,0.463983474,-49,Y
0.420270956,-0.126424614,42195,0.425192912,-47,42195,0.668198228,-51,Y
0.45664778,-0.008552931,15000,0.469283276,-7,42195,0.461118145,-63,Y
0.420873599,0.148399786,15000,0.270217603,-21,15000,0.274730022,-83,N
0.6105919,0.199677166,21097,0.376766632,-84,15000,0.445062837,-20,N
0.377889447,0.095679686,21097,0.271532012,-77,21097,0.29288751,-7,N
0.536458333,-0.255090142,42195,0.952576305,-112,15000,0.630520646,-6,Y
0.519212448,0.235438753,21097,0.272646449,-21,15000,0.294900942,-21,N
0.46286526,0.050369976,42195,0.39672535,-14,42195,0.428265219,-47,N
0.557954906,0.164476055,21097,0.37854391,-21,42195,0.408413793,-49,N
0.553255002,0.058425229,42195,0.567452648,-21,42195,0.422206897,-49,N
0.493371212,0.079883361,21097,0.545057864,-14,21097,0.281917839,-98,N
0.420023193,0.200933919,21097,0.264736298,-84,10000,0.173442249,-16,N
0.460842675,0.153026369,42195,0.350206897,-49,21097,0.265425715,-35,N
0.448206897,0.049703281,21097,0.359875905,-35,10000,0.437131326,-31,N
0.441791045,0.019680338,42195,0.419655172,-70,21097,0.424566242,-35,N
0.389485891,0.106345883,21097,0.274771341,-77,21097,0.291508675,-7,N
0.478310575,0.075969986,42195,0.421646695,-21,42195,0.383034483,-49,N
0.464337885,0.094345368,15000,0.44222361,-14,10000,0.297761423,-63,N
0.575757576,-0.153144388,42195,0.484387452,-14,42195,0.973416475,-98,Y
0.51140317,0.212750565,42195,0.371241379,-49,10000,0.22606383,-51,N
0.447443633,0.111392842,42195,0.366689655,-70,21097,0.305411927,-35,N
0.34137931,0.142484761,21097,0.215787659,-35,15000,0.18200144,-20,N
0.455915381,0.130997218,21097,0.332988625,-84,21097,0.3168477,-28,N
0.394537949,0.084699419,42195,0.352918438,-21,42195,0.266758621,-49,N
0.384460765,0.078064834,42195,0.375862069,-49,21097,0.236929794,-35,N
0.372226732,-0.109826144,42195,0.38977034,-14,42195,0.574335412,-98,Y
0.855759764,0.628099648,15000,0.266247756,-6,10000,0.189072475,-11,N
0.541631233,0.209941344,42195,0.398068966,-49,21097,0.265310812,-35,N
0.503689551,0.075257673,21097,0.450053601,-21,42195,0.406810155,-49,N
0.330357143,-0.195206932,42195,0.308266319,-14,42195,0.742861831,-98,Y
0.499746432,0.184779732,21097,0.317476732,-84,21097,0.312456667,-28,N
0.466137931,0.180161272,21097,0.297943238,-35,15000,0.274010079,-20,N
0.451874758,0.088994155,15000,0.245209484,-21,42195,0.480551724,-28,N
0.453448276,0.202498777,21097,0.322187751,-35,10000,0.179711246,-16,N
0.458812321,0.146728521,21097,0.214857256,-21,42195,0.409310345,-49,N
0.380641889,0.17992913,15000,0.218850987,-104,21097,0.182574532,-8,N
0.23718593,0.025436374,42195,0.237586207,-49,21097,0.185912904,-35,N
0.221103448,0.062001536,21097,0.190164311,-35,10000,0.128039514,-16,N
0.25668333,0.063484342,21097,0.206365621,-84,21097,0.180032355,-28,N
0.217778744,0.075059627,21097,0.136964265,-84,15000,0.148473968,-20,N
0.262311558,0.035066244,42195,0.277310345,-49,21097,0.177180283,-35,N
0.272911686,0.143585834,21097,0.12489946,-84,15000,0.133752244,-20,N
0.209374774,0.035487912,21097,0.169481788,-84,10000,0.178291936,-28,N
0.370536303,0.133630989,21097,0.221128545,-21,42195,0.252682082,-49,N
0.246343392,0.010377104,42195,0.227180127,-21,42195,0.244752449,-49,N
0.16889881,0.025344684,42195,0.163587626,-14,21097,0.123520625,-84,N
0.248206897,0.090837494,21097,0.211651155,-35,5000,0.103087649,-30,N
0.152865319,-0.135154674,42195,0.199199771,-47,15000,0.376840215,-57,Y
0.224443961,0.000238034,21097,0.175341836,-84,15000,0.273070018,-20,N
0.222206897,0.114957205,21097,0.163277031,-35,5000,0.051222352,-31,N
0.366482759,-0.109739352,10000,0.469794833,-51,15000,0.482649388,-4,Y
0.258068966,0.092031882,21097,0.180742273,-35,15000,0.151331893,-20,N
0.283370668,0.133469806,42195,0.287967405,-21,10000,0.01183432,-27,N
0.214551724,0.10767351,21097,0.137768586,-35,10000,0.075987842,-16,N
