Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass,RunnerID,MarathonDate,MarathonResult,RaceOneResult,RaceOneResultInSeconds,RaceTwoResult,RaceTwoResultInSeconds
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2963345972653108,-35.0,מרוץ הלילה של תל-אביב,10000,0.21523556231003038,-16.0,13230,0.329155672823219,0.07337059303554838,,1321.0,2017-01-06,03:40:30,01:48:14,6494,00:51:03,3063
Desert Marathon ,מרוץ אייל ,15000,0.26087580760947593,-6.0,"מרתון התנ""ך ",42195,0.4588111397144863,-36.0,13847,0.5602231703314736,0.2003796966694925,,1334.0,2017-11-17,03:50:47,01:16:31,4591,04:28:47,16127
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.26657474434103184,-35.0,מרוץ הלילה של תל-אביב,10000,0.1534954407294833,-16.0,14159,0.3904353562005277,0.18040026366527015,,1339.0,2017-01-06,03:55:59,01:43:55,6235,00:45:38,2738
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.26333365136914416,-21.0,מרתון טבריה Winner ,42195,0.3945910290237467,-49.0,14804,0.41594156875198474,0.0869792285555393,,1346.0,2016-03-18,04:06:44,01:46:22,6382,03:57:02,14222
מרתון סמסונג תל-אביב ,מרוץ ראשון לציון ,15000,0.2218252679441377,-21.0,מרתון טבריה Winner ,42195,0.4079155672823219,-28.0,11386,0.19376261475356468,-0.12110780285966513,,1365.0,2017-02-24,03:09:46,01:07:47,4067,04:00:24,14424
מרתון סמסונג תל-אביב ,Desert Marathon ,42195,0.446504758779127,-98.0,מרוץ הלילה של תל-אביב ,10000,0.1490799849793466,-17.0,12490,0.26564229442020965,-0.03215007745902715,,1369.0,2018-02-23,03:28:10,03:39:14,13154,00:44:15,2655
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,10000,0.4233289646133683,-21.0,מרתון טבריה Winner ,42195,0.3521108179419525,-49.0,14665,0.40711336932359476,0.019393478045934387,,1381.0,2016-03-18,04:04:25,01:08:17,4097,03:46:18,13578
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.22199241640813513,-35.0,מרוץ אייל ,15000,0.2165111270638909,-20.0,14929,0.4412269129287599,0.22197514119274686,,1389.0,2017-01-06,04:08:49,01:37:27,5847,01:11:22,4282
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.35021811315840873,-14.0,חצי מרתון עמק המעיינות,21097,0.26967712283120765,-84.0,14200,0.38649891774891776,0.07655129975410957,,1396.0,2018-03-09,03:56:40,03:49:49,13789,01:44:22,6262
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2333678042054464,-35.0,חצי מרתון חיפה ה-19,21097,0.29838034068695896,-28.0,12398,0.2742744063324538,0.008400333886251166,,1398.0,2017-01-06,03:26:38,01:39:06,5946,01:43:53,6233
מרתון סמסונג תל-אביב ,Desert Marathon ,42195,0.6125697407285855,-98.0,מרוץ הלילה של תל-אביב ,10000,0.4938039804731506,-17.0,12757,0.28302623868741456,-0.2701606219134535,,1399.0,2018-02-23,03:32:37,03:56:06,14166,01:14:51,4491
מרתון טבריה Winner ,"המרתון המדברי, אילת ",21097,0.13814411395056556,-49.0,מרוץ גיא,5000,0.1022964509394572,-55.0,12480,0.2796833773087071,0.15946309486369575,,1409.0,2017-01-06,03:28:00,01:39:46,5986,00:21:18,1278
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.5851292401849079,-21.0,מרתון טבריה Winner ,42195,0.29887862796833775,-49.0,13552,0.33642426167037154,-0.10557967240625127,,1417.0,2016-03-18,03:45:52,04:49:57,17397,03:32:51,12771
מרתון סמסונג תל-אביב ,"מרוץ ראשון לציון, אליפות הארץ ל 15 ק""מ",15000,0.3081570996978852,-21.0,מרתון טבריה Winner ,42195,0.34848284960422166,-28.0,13718,0.34559541636825314,0.01727544171719969,,1429.0,2016-02-26,03:48:38,01:13:17,4397,03:45:23,13523
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.4075786183996354,-14.0,חצי מרתון עמק המעיינות,21097,0.2193496495461335,-84.0,15059,0.4446022727272727,0.1311381387543883,,1430.0,2018-03-09,04:10:59,04:04:30,14670,01:37:04,5824
International Tiberias Winner Marathon ,חצי מרתון עמק המעיינות,21097,0.23302309548431574,-37.0,מרוץ אייל ,15000,0.17745872218234027,-20.0,12734,0.3157330665904544,0.1104921577571264,,1444.0,2018-01-07,03:32:14,01:39:03,5943,01:06:50,4010
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.5426008968609866,-21.0,חצי מרתון השרון ,21097,0.12595855767661934,-77.0,15736,0.47513496348046996,0.140855236211667,,1450.0,2017-03-17,04:22:16,02:35:09,9309,01:32:18,5538
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.24003217281397218,-35.0,מרוץ אייל ,15000,0.18334529791816223,-20.0,12595,0.28726912928759896,0.07558039392153176,,1455.0,2017-01-06,03:29:55,01:40:04,6004,01:07:31,4051
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.25086268637281073,-21.0,מרתון טבריה Winner ,42195,0.2566622691292876,-49.0,13406,0.3271514766592569,0.07338899890820777,,1467.0,2017-03-17,03:43:26,03:24:23,12263,03:22:11,12131
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.3697575548661381,-35.0,"המרתון המדברי, אילת ",42195,0.6407532175865941,-14.0,12439,0.2769788918205805,-0.22827649440578562,,1475.0,2017-01-06,03:27:19,01:58:53,7133,05:01:33,18093
מרתון סמסונג תל-אביב ,מרתון טבריה Winner ,42195,0.304287598944591,-49.0,חצי מרתון עמק המעיינות,21097,0.20854877628403998,-35.0,12731,0.28133342014454066,0.02491523253022515,,1485.0,2017-02-24,03:32:11,03:34:13,12853,01:35:30,5730
International Tiberias Winner Marathon ,מרוץ אלישע דגניה ב' ,5000,0.05467625899280575,-22.0,חצי מרתון עמק המעיינות,21097,0.22520969780535446,-15.0,15782,0.5335095741640469,0.3935665957649668,,1487.0,2018-01-07,04:23:02,00:25:11,1511,01:37:55,5875
Jerusalem Marathon,International Tiberias Winner Marathon ,42195,0.33245212917976563,-61.0,חצי מרתון עמק המעיינות,21097,0.23233367804205446,-37.0,13305,0.32596049783549785,0.04356759422458778,,1489.0,2018-03-09,03:41:45,03:36:08,12968,01:38:57,5937
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.2753434468389869,-21.0,מרתון טבריה Winner ,42195,0.38304749340369393,-49.0,14695,0.40901873610670053,0.0798232659853601,,1490.0,2017-03-17,04:04:55,03:30:39,12639,03:54:07,14047
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.29507066528783177,-35.0,מרוץ אייל ,15000,0.24134960516870066,-20.0,13161,0.3246042216358839,0.05639408640761773,,1493.0,2017-01-06,03:39:21,01:48:03,6483,01:14:15,4455
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2933471216821786,-35.0,מרוץ אייל ,15000,0.23460157932519743,-20.0,14738,0.42862796833773087,0.16465361783404286,,1504.0,2017-01-06,04:05:38,01:47:48,6468,01:13:28,4408
מרתון טבריה Winner ,מרוץ התחתונים ה-6,10000,0.250229990800368,-7.0,חצי מרתון עמק המעיינות,21097,0.27806503504538665,-28.0,13455,0.34399736147757254,0.07984984855469524,,1507.0,2017-01-06,03:44:15,00:48:20,2900,01:45:35,6335
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.20574256136467217,-14.0,חצי מרתון עמק המעיינות,21097,0.23038032862231414,-84.0,15446,0.4707792207792208,0.2527177757857276,,1508.0,2018-03-09,04:17:26,03:12:50,11570,01:38:40,5920
Jerusalem Marathon ,מרתון טבריה Winner ,42195,0.27229551451187334,-70.0,חצי מרתון עמק המעיינות,21097,0.22463518327013673,-35.0,13599,0.33940933629723724,0.09094398740623222,,1522.0,2017-03-17,03:46:39,03:26:08,12368,01:37:50,5870
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.2430496777133928,-21.0,מרתון טבריה Winner ,42195,0.2517150395778364,-49.0,13405,0.32708796443315336,0.07970560578753874,,1524.0,2017-03-17,03:43:25,03:22:23,12143,03:20:56,12056
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.20395266000229806,-84.0,מרוץ אייל ,15000,0.1704235463029433,-20.0,14214,0.37788918549384726,0.19070108234122657,,1555.0,2017-02-24,03:56:54,01:34:50,5690,01:06:01,3961
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.304577120906309,-14.0,חצי מרתון עמק המעיינות,21097,0.19533494197403195,-84.0,13613,0.34679383116883117,0.09683779972866069,,1562.0,2018-03-09,03:46:53,03:38:08,13088,01:33:35,5615
Desert Marathon ,מרוץ אייל ,15000,0.18822684852835606,-6.0,מרוץ הלילה של תל-אביב ,10000,0.1132181749906121,-11.0,14007,0.5864785034460125,0.4357559916865284,,1565.0,2017-11-17,03:53:27,01:08:05,4085,00:41:04,2464
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.2995637736831825,-21.0,מרתון טבריה Winner ,42195,0.34525065963060686,-49.0,14642,0.4056525881232137,0.08324537146631905,,1567.0,2017-03-17,04:04:02,03:36:51,13011,03:44:34,13474
Jerusalem Marathon,מרתון סמסונג תל-אביב ,21097,0.19168018318862703,-14.0,חצי מרתון עמק המעיינות,21097,0.17488222452028035,-84.0,13593,0.34544101731601734,0.16215981346156366,,1579.0,2018-03-09,03:46:33,01:33:51,5631,01:30:37,5437
Jerusalem Marathon,מרתון סמסונג תל-אביב ,42195,0.28497949085226904,-14.0,Desert Marathon ,42195,0.6079750574335412,-98.0,14179,0.38507846320346323,-0.061398810939441884,,1585.0,2018-03-09,03:56:19,03:33:07,12787,03:55:38,14138
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.259261670681685,-21.0,מרתון טבריה Winner ,42195,0.2700527704485488,-49.0,12685,0.2813591616386154,0.01670194107349854,,1592.0,2016-03-18,03:31:25,03:26:32,12392,03:25:34,12334
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.2233712512926577,-98.0,מרוץ אייל ,15000,0.19770279971284996,-20.0,13712,0.3534902597402597,0.1429532342375059,,1593.0,2018-03-09,03:48:32,01:37:39,5859,01:09:11,4151
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.16109387567505457,-35.0,ספורטיאדה ריצה ואופניים יום I,5000,0.08366533864541832,-30.0,11640,0.22427440633245382,0.10189479917221739,,1594.0,2017-01-06,03:14:00,01:28:37,5317,00:19:54,1194
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.18032630474191394,-21.0,מרוץ ראשון לציון ,15000,0.16141604417018512,-21.0,12224,0.25208002540489044,0.0812088509488409,,1601.0,2017-03-17,03:23:44,01:31:52,5512,01:01:35,3695
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.4663064001562602,-21.0,מרתון טבריה Winner ,42195,0.34155672823218997,-49.0,16444,0.5201016195617656,0.11617005536754055,,1612.0,2017-03-17,04:34:04,04:19:32,15572,03:43:38,13418
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,21097,0.325541455967942,-21.0,מרתון טבריה Winner ,42195,0.4007915567282322,-49.0,15694,0.47246744998412193,0.10930094363603482,,1626.0,2016-03-18,04:21:34,01:57:14,7034,03:58:36,14316
מרתון טבריה Winner ,מרוץ אייל ,15000,0.31873653984206746,-55.0,מרוץ חבר,10000,0.204522912120611,-36.0,15785,0.49769129287598945,0.23606156689465024,,1633.0,2017-01-06,04:23:05,01:23:14,4994,00:51:40,3100
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.3587268757899575,-84.0,מרוץ אייל ,15000,0.3098348887293611,-20.0,15686,0.4737287583827072,0.13944787612304793,,1637.0,2018-02-23,04:21:26,01:57:17,7037,01:22:12,4932
מרתון סמסונג תל-אביב ,מרוץ ראשון לציון ,15000,0.21159467359532316,-21.0,חצי מרתון עמק המעיינות,21097,0.24129610479145122,-63.0,13484,0.3303600494823882,0.10391466028900098,,1642.0,2017-02-24,03:44:44,01:06:44,4004,01:40:15,6015
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2846145007468689,-35.0,בשביל הבנים הדרוזים,10000,0.21650504650702554,-70.0,14446,0.40936675461741423,0.15880698099046703,,1649.0,2017-01-06,04:00:46,01:46:32,6392,00:53:14,3194
מרתון סמסונג תל-אביב ,מרוץ אייל ,15000,0.15032304379038047,-104.0,מרוץ הלילה של תל-אביב ,10000,0.10683439729628239,-11.0,12153,0.2437007617683443,0.11512204122501288,,1667.0,2018-02-23,03:22:33,01:03:41,3821,00:40:30,2430
מרתון סמסונג תל-אביב ,חצי מרתון עמק המעיינות,21097,0.3167873147190624,-84.0,מרוץ אייל ,15000,0.2709260588657574,-20.0,14094,0.37007617683442934,0.07621949004201944,,1673.0,2018-02-23,03:54:54,01:51:12,6672,01:17:41,4661
מרתון טבריה Winner ,חצי מרתון עמק המעיינות,21097,0.2095829024474319,-35.0,מרוץ אייל ,15000,0.18205312275664035,-20.0,12513,0.28186015831134564,0.08604214570930951,,1676.0,2017-01-06,03:28:33,01:35:39,5739,01:07:22,4042
Jerusalem Marathon,חצי מרתון עמק המעיינות,21097,0.24129610479145122,-98.0,מרוץ אייל ,15000,0.1879396984924623,-20.0,15283,0.4597537878787879,0.24513588623683114,,1683.0,2018-03-09,04:14:43,01:40:15,6015,01:08:03,4083
Jerusalem Marathon ,מרתון סמסונג תל-אביב ,42195,0.4102480630249365,-21.0,מרתון טבריה Winner ,42195,0.3996042216358839,-49.0,15876,0.4840266751349635,0.07910053280455331,,1684.0,2017-03-17,04:24:36,04:05:11,14711,03:58:18,14298
