Event,Date,Heat,Type,raceid,eventid,Finishers
"לרוץ עם פסקל, הר איתן",23/08/2018,"4 ק""מ",,30898,9236,104
"לרוץ עם פסקל, הר איתן",23/08/2018,"2 ק""מ",2K,30899,9236,68
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ  גברים",,30900,9236,240
"לרוץ עם פסקל, הר איתן",23/08/2018,"8 ק""מ נשים",,30901,9236,53
"לרוץ עם פסקל, הר איתן",23/08/2018,"2 ק""מ מיוחד זיכרון מנחם וילדים מלווים",2K,30902,9236,41
JAYBIRD Desert Night Run,26/07/2018,חצי מרתון,,30806,9218,251
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ",10K,30807,9218,508
JAYBIRD Desert Night Run,26/07/2018,"5 ק""מ",5K,30808,9218,186
JAYBIRD Desert Night Run,26/07/2018,"10 ק""מ הליכה",10K,30809,9218,54
"מרוץ ראמוס, כפר מעאר",14/07/2018,"4 ק""מ",,30534,9189,198
מרוץ נחל,12/07/2018,10 קילומטר ריצה,10K,30532,9188,429
מרוץ נחל,12/07/2018,חצי מרתון,חצי מרתון,30533,9188,222
מרוץ נחל,12/07/2018,5 קילומטר ריצה,5K,30531,9188,430
מרוץ שערי תקווה ה-1,05/07/2018,05KM,5K,30528,9185,90
מרוץ לילה ערד מצדה 2018,29/06/2018,חצי מרתון,חצי מרתון,30474,9175,693
מרוץ לילה ערד מצדה 2018,29/06/2018,"11 ק""מ",,30475,9175,514
מרוץ שדרות ה-1,21/06/2018,10KM,,30397,9164,349
מרוץ שדרות ה-1,21/06/2018,05KM,,30398,9164,258
מרוץ סיום העונה,15/06/2018,05KM,,29996,9128,401
מרוץ מרום הגליל ה-6,08/06/2018,10KM,10K,29951,9117,95
מרוץ מרום הגליל ה-6,08/06/2018,05KM,5K,29952,9117,136
מרוץ כפר יונה ה-1,07/06/2018,02KM,2K,29950,9116,323
מרוץ לילה כפר סבא,07/06/2018,"7.5 ק""מ",,29953,9118,691
מרוץ לילה כפר סבא,07/06/2018,"3 ק""מ",,29954,9118,948
מרוץ כפר יונה ה-1,07/06/2018,10KM,10K,29948,9116,139
מרוץ כפר יונה ה-1,07/06/2018,05KM,5K,29949,9116,248
REEFITNESS חיפה 2018,01/06/2018,"ריצה 5 ק""מ",5K,29871,9099,120
מרוץ MS ישראל 2018,01/06/2018,10KM,10K,29870,9098,235
מרוץ ערב אשדוד,31/05/2018,"5 ק""מ",5K,29869,9097,285
מרוץ בית שמש 2018,30/05/2018,02KM,2K,29868,9096,146
מרוץ בית שמש 2018,30/05/2018,05KM,5K,29867,9096,600
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 10 ק""מ",10K,29660,9076,54
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 5 ק""מ",5K,29661,9076,50
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 2.5 ק""מ",,29662,9076,43
מרוץ משמר הנגב ה-6,26/05/2018,"ריצה 1.5 ק""מ",,29663,9076,63
מרוץ משמר הנגב ה-6,26/05/2018,"הליכה 2.5 ק""מ",,29664,9076,8
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"15 ק""מ",15K,29656,9075,22
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"10 ק""מ",10K,29657,9075,70
מרוץ גני תקווה ה-1,25/05/2018,10KM,10K,29639,9072,427
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"5 ק""מ",5K,29658,9075,65
מרוץ גני תקווה ה-1,25/05/2018,05KM,5K,29640,9072,308
"מרוץ שחר ה - VI, באלוני הבשן",25/05/2018,"עממי 2 ק""מ",2K,29659,9075,11
מרוץ הערב של מיתר,24/05/2018,400 מטר,,29635,9070,94
מרוץ מטריקס ה-3,24/05/2018,10KM,10K,29636,9071,514
מרוץ מטריקס ה-3,24/05/2018,05KM,5K,29637,9071,298
מרוץ מטריקס ה-3,24/05/2018,04KM,,29638,9071,96
מרוץ הערב של מיתר,24/05/2018,"10 ק""מ",10K,29632,9070,111
מרוץ הערב של מיתר,24/05/2018,"5 ק""מ",5K,29633,9070,168
מרוץ הערב של מיתר,24/05/2018,"2 ק""מ",2K,29634,9070,263
מרוץ כפר תבור,23/05/2018,10k,10K,29642,9073,11
מרוץ כפר תבור,23/05/2018,2k,2K,29643,9073,35
מרוץ כפר תבור,23/05/2018,5k,5K,29641,9073,43
מרוץ אבנר ארד 2018,19/05/2018,"2.5 ק""מ",,29320,8762,89
מרוץ אבנר ארד 2018,19/05/2018,"8.6 ק""מ",,29321,8762,94
מרוץ רהט,18/05/2018,5k,5K,29318,8760,84
מרוץ הכפר ה-5,18/05/2018,10KM,10K,29314,8758,54
מרוץ הכפר ה-5,18/05/2018,05KM,5K,29315,8758,93
מרוץ כהילה,17/05/2018,10KM,10K,29316,8759,79
מרוץ כהילה,17/05/2018,05KM,5K,29317,8759,168
מרוץ יגור 2018,12/05/2018,10k,10K,29311,8756,47
מרוץ יגור 2018,12/05/2018,6k,,29312,8756,45
מרוץ ג' למען מלאכיות הדממה,12/05/2018,10k,10K,29306,8755,179
מרוץ ג' למען מלאכיות הדממה,12/05/2018,2k,2K,29307,8755,156
מרוץ ג' למען מלאכיות הדממה,12/05/2018,5k,5K,29308,8755,164
מרוץ ג' למען מלאכיות הדממה,12/05/2018,3k,,29309,8755,97
מרוץ יגור 2018,12/05/2018,900m,,29310,8756,30
מרוץ עופרה 2018,11/05/2018,"5 ק""מ נשים",5K,29273,8749,12
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"15 ק""מ",15K,29254,8746,416
מרוץ התבור 2018,11/05/2018,5.6k IDF,,29280,8750,119
מרוץ עופרה 2018,11/05/2018,"2 ק""מ גברים",2K,29274,8749,27
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"10 ק""מ",10K,29255,8746,561
מרוץ מהמדבר לים 2018,11/05/2018,25k,,29281,8751,114
מרוץ עופרה 2018,11/05/2018,"2 ק""מ נשים",2K,29275,8749,15
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,"5 ק""מ",5K,29256,8746,420
מרוץ מהמדבר לים 2018,11/05/2018,D2S,,29282,8751,189
מרוץ התבור 2018,11/05/2018,10.6k,,29276,8750,223
אליפות אפרת גוש עציון,11/05/2018,חצי מרתון,חצי מרתון,29257,8747,95
מרוץ גבעת שמואל 2018,11/05/2018,10KM,10K,29251,8745,504
מרוץ בית אריה 2018,11/05/2018,21k,,29301,8753,18
מרוץ התבור 2018,11/05/2018,5.6k,,29277,8750,111
אליפות אפרת גוש עציון,11/05/2018,"10 ק""מ",10K,29258,8747,159
מרוץ גבעת שמואל 2018,11/05/2018,05KM,5K,29252,8745,542
מרוץ בית אריה 2018,11/05/2018,5k,5K,29302,8753,98
מרוץ התבור 2018,11/05/2018,2k,2K,29278,8750,50
אליפות אפרת גוש עציון,11/05/2018,"5 ק""מ",5K,29259,8747,408
מרוץ עופרה 2018,11/05/2018,"5 ק""מ גברים",5K,29272,8749,34
מרוץ חופים SOLGAR נתניה 2018,11/05/2018,חצי מרתון,חצי מרתון,29253,8746,170
מרוץ בית אריה 2018,11/05/2018,10k,10K,29303,8753,51
מרוץ התבור 2018,11/05/2018,10.6k IDF,,29279,8750,149
מרוץ טלמונים 2018,10/05/2018,10KM,10K,29248,8744,62
מרוץ טלמונים 2018,10/05/2018,05KM,5K,29249,8744,219
מרוץ טלמונים 2018,10/05/2018,02KM,2K,29250,8744,134
מרוץ המדרגות של חיפה,04/05/2018,"3 ק""מ טיפוס ועוד 20 קומות, עלית",,29111,8730,52
מרוץ המדרגות של חיפה,04/05/2018,"3 ק""מ טיפוס",,29112,8730,269
מרוץ טירת הכרמל,03/05/2018,בנות ב 100,,29267,8748,34
מרוץ טירת הכרמל,03/05/2018,בנות א 100,,29261,8748,46
מרוץ טירת הכרמל,03/05/2018,בנים ב 100,,29268,8748,40
מרוץ טירת הכרמל,03/05/2018,"5 ק""מ",5K,29262,8748,63
מרוץ טירת הכרמל,03/05/2018,בנות ד 200,,29269,8748,14
מרוץ טירת הכרמל,03/05/2018,בנים ג 200,,29263,8748,29
מרוץ טירת הכרמל,03/05/2018,בנים ד 200,,29270,8748,24
מרוץ טירת הכרמל,03/05/2018,בנים ה 300,,29264,8748,6
מרוץ טירת הכרמל,03/05/2018,בנות ג 200,,29271,8748,20
מרוץ טירת הכרמל,03/05/2018,בנים א 100,,29265,8748,35
מרוץ טירת הכרמל,03/05/2018,בנות ה 300,,29266,8748,7
מרוץ טירת הכרמל,03/05/2018,בנות ו 300,,29260,8748,5
מרוץ הלילה של באר שבע 2018,30/04/2018,10k,10K,29105,8728,1484
מרוץ אקדמיית השוטרים 2018,30/04/2018,10KM,10K,29304,8754,10
מרוץ אקדמיית השוטרים 2018,30/04/2018,05KM,5K,29305,8754,402
מרוץ הלילה של באר שבע 2018,30/04/2018,5k,5K,29104,8728,1497
מרוץ הרצליה 2018,28/04/2018,05KM,5K,29006,8707,441
מרוץ הרצליה 2018,28/04/2018,02KM,2K,29007,8707,885
מרוץ עיינות 2018,28/04/2018,"10 ק""מ",10K,29008,8708,118
מרוץ עיינות 2018,28/04/2018,"4 ק""מ",,29009,8708,276
מרוץ עיינות 2018,28/04/2018,"1.4 ק""מ ילדים",,29010,8708,10
מרוץ הרצליה 2018,28/04/2018,10KM,10K,29005,8707,1614
מרוץ יאנוח ג'ת,27/04/2018,2k,2K,29107,8729,49
מרוץ יאנוח ג'ת,27/04/2018,4k,,29108,8729,93
מרוץ יאנוח ג'ת,27/04/2018,8K,,29109,8729,74
מרוץ יאנוח ג'ת,27/04/2018,4B,,29110,8729,20
GFNY Jerusalem Cycling 2018,24/04/2018,Cycling 70km,,29000,8706,297
GFNY Jerusalem Cycling 2018,24/04/2018,pairs 130Km up to 90,,29001,8706,8
GFNY Jerusalem Cycling 2018,24/04/2018,pairs 130K above 90,,29002,8706,17
GFNY Jerusalem Cycling 2018,24/04/2018,pairs 70Km  up to 90,,29003,8706,6
GFNY Jerusalem Cycling 2018,24/04/2018,pairs 70K above 90,,29004,8706,9
GFNY Jerusalem Cycling 2018,24/04/2018,Cycling 130 km,,28999,8706,427
"מרוץ AIS ביה""ס האמריקאי 2018",21/04/2018,4K,,28951,8689,149
"מרוץ AIS ביה""ס האמריקאי 2018",21/04/2018,Walker,,28952,8689,30
מרוץ שפיר 2018,20/04/2018,10B,10K,28980,8701,28
מרוץ שפיר 2018,20/04/2018,10k,10K,28981,8701,151
מרוץ שפיר 2018,20/04/2018,5k,5K,28982,8701,141
מרוץ שפיר 2018,20/04/2018,2k,,28983,8701,100
מרוץ צהלה 2018,14/04/2018,2.5k,,28934,8682,287
מרוץ צהלה 2018,14/04/2018,10k,10K,28935,8682,194
מרוץ צהלה 2018,14/04/2018,5.4k,,28936,8682,181
מרוץ הרי הגעש 2018,13/04/2018,15k,15K,28921,8678,459
מרוץ אלוני יצחק 2018,13/04/2018,"5.5 ק""מ",,28915,8676,94
מרוץ שדמות דבורה לזכר נדב ריימונד,13/04/2018,"10 ק""מ",10K,28909,8673,140
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"10 ק""מ",10K,28916,8677,152
בשבילי עמק המעיינות יום ו,13/04/2018,"30 ק""מ",,28946,8688,21
מרוץ אליצור השומרון ה-7,13/04/2018,10KM,10K,28910,8674,143
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"5 ק""מ",5K,28917,8677,161
בשבילי עמק המעיינות יום ו,13/04/2018,"20 ק""מ",,28947,8688,30
מרוץ אליצור השומרון ה-7,13/04/2018,05KM,5K,28911,8674,102
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,"10 ק""מ",10K,28905,8672,349
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"2 ק""מ בנים",2K,28918,8677,87
בשבילי עמק המעיינות יום ו,13/04/2018,משולב 10+10,10K,28948,8688,31
מרוץ רמלה,13/04/2018,10k,,28912,8675,259
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,"5 ק""מ",5K,28906,8672,389
"מרוץ עמק חפר לזכר רז גוטרמן ז""ל",13/04/2018,"2 ק""מ בנות",2K,28919,8677,138
בשבילי עמק המעיינות יום ו,13/04/2018,"5 ק""מ לזכר אבנר",5K,28949,8688,34
מרוץ רמלה,13/04/2018,5k,,28913,8675,215
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,"2 ק""מ",2K,28907,8672,284
מרוץ הרי הגעש 2018,13/04/2018,30k,,28920,8678,325
בשבילי עמק המעיינות יום ו,13/04/2018,"10 ק""מ בוקר",10K,28950,8688,71
מרוץ אלוני יצחק 2018,13/04/2018,"10 ק""מ",10K,28914,8676,82
"מרוץ סביון ה-10, ע""ש עומר (ניניו) חי",13/04/2018,אפרוחים 300 מטר,,28908,8672,2
מרוץ שבילי עמק המעיינות 2018,12/04/2018,"10 ק""מ בוקר",10K,28945,8687,3
מרוץ שבילי עמק המעיינות 2018,12/04/2018,משולב 10+10,,28942,8687,33
מרוץ שבילי עמק המעיינות 2018,12/04/2018,"50 ק""מ",,28943,8687,12
מרוץ שבילי עמק המעיינות 2018,12/04/2018,"10 ק""מ לזכר אבנר ערב",10K,28944,8687,25
משחה CoolIt,05/04/2018,3.3k - מקצה גיבורים,,28773,8650,81
משחה CoolIt,05/04/2018,3.3k - מקצה חליפות,,28774,8650,71
משחה CoolIt,05/04/2018,800m מקצה עממי - שומרי הבית,,28775,8650,29
מרוץ לכיש ה-2,05/04/2018,10KM,10K,28770,8649,115
מרוץ לכיש ה-2,05/04/2018,05KM,5K,28771,8649,137
מרוץ לכיש ה-2,05/04/2018,02KM,2K,28772,8649,48
מרוץ הטכניון 2018,28/03/2018,05KM,5K,28670,8637,726
מרוץ מעגן מיכאל 2018,24/03/2018,"5 ק""מ ריצה",5K,28654,8628,99
מרוץ מעגן מיכאל 2018,24/03/2018,"5 ק""מ הליכה",5K,28655,8628,35
מרוץ מעגן מיכאל 2018,24/03/2018,"2 ק""מ",2K,28656,8628,321
מרוץ מעגן מיכאל 2018,24/03/2018,"10 ק""מ",10K,28653,8628,83
מרוץ מזכרת בתיה ה-6,23/03/2018,5k,5K,28641,8624,108
JMUT 2018,23/03/2018,Challenge,,28661,8630,6
מרוץ בנימין ה-9,23/03/2018,10KM,10K,28642,8625,97
JMUT 2018,23/03/2018,Promise,,28662,8630,112
מרוץ בנימין ה-9,23/03/2018,05KM,5K,28643,8625,99
מרוץ הנגב ה-6,23/03/2018,5k,5K,28657,8629,37
לרוץ ברוח טובה 2018,23/03/2018,"ריצה 10 ק""מ",10K,28651,8627,245
מרוץ הנגב ה-6,23/03/2018,2k,2K,28658,8629,22
לרוץ ברוח טובה 2018,23/03/2018,"ריצה 3.5 ק""מ",5K,28652,8627,439
מרוץ מזכרת בתיה ה-6,23/03/2018,2k,2K,28639,8624,38
מרוץ הנגב ה-6,23/03/2018,9k,,28659,8629,22
מרוץ מזכרת בתיה ה-6,23/03/2018,10k,10K,28640,8624,209
JMUT 2018,23/03/2018,Adventure,,28660,8630,15
מרוץ נשים של תל-אביב,21/03/2018,"נשים 12 ק""מ",,28636,8623,1402
מרוץ נשים של תל-אביב,21/03/2018,"נשים 8 ק""מ",,28637,8623,1973
מרוץ נשים של תל-אביב,21/03/2018,"נשים 4 ק""מ",,28638,8623,1929
מרוץ עין גדי 2018,17/03/2018,2k,2K,28550,8586,83
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,"2 ק""מ ילדים",2K,28556,8587,242
מרוץ עין גדי 2018,17/03/2018,21k,חצי מרתון,28549,8586,180
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,"5 ק""מ",5K,28555,8587,146
מרוץ עין גדי 2018,17/03/2018,30k,,28548,8586,79
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,"10 ק""מ",10K,28554,8587,355
מרוץ עין גדי 2018,17/03/2018,10k,10K,28547,8586,216
מרוץ האביב לזכרו של גל לוינסון חצי מרתון רמת השרון,17/03/2018,חצי מרתון,חצי מרתון,28553,8587,247
מרוץ עין גדי 2018,17/03/2018,10w,10K,28552,8586,28
מרוץ עין גדי 2018,17/03/2018,5k,5K,28551,8586,77
"מירוץ עדנים ה - 6, 2018",16/03/2018,"5 ק""מ ריצה",5K,28537,8583,156
מרוץ דימונה 2018,16/03/2018,5k,5K,28543,8585,58
"מירוץ עדנים ה - 6, 2018",16/03/2018,"10 ק""מ ריצה",10K,28536,8583,96
מרוץ הגליל העליון 2018,16/03/2018,"5 ק""מ",5K,28542,8584,168
"מירוץ עדנים ה - 6, 2018",16/03/2018,חצי מרתון,חצי מרתון,28535,8583,23
מרוץ הגליל העליון 2018,16/03/2018,"15 ק""מ",15K,28541,8584,212
מרוץ ראש העין 2018,16/03/2018,02KM,2K,28561,8581,142
מרוץ רעננה 2018,16/03/2018,אופני יד,,28534,8582,35
מרוץ ראש העין 2018,16/03/2018,10KM,10K,28531,8581,161
"מירוץ עדנים ה - 6, 2018",16/03/2018,"10 ק""מ רכיבה",10K,28540,8583,2
מרוץ נס ציונה 2018,16/03/2018,2k,2K,28560,8589,296
מרוץ דימונה 2018,16/03/2018,10k,10K,28546,8585,67
מרוץ רעננה 2018,16/03/2018,"ריצה 10 ק""מ",10K,28533,8582,1048
"מירוץ עדנים ה - 6, 2018",16/03/2018,"25 ק""מ רכיבה",5K,28539,8583,32
מרוץ נס ציונה 2018,16/03/2018,5k,5K,28559,8589,275
מרוץ דימונה 2018,16/03/2018,2k,2K,28545,8585,319
מרוץ ראש העין 2018,16/03/2018,05KM,5K,28532,8581,265
"מירוץ עדנים ה - 6, 2018",16/03/2018,"2.3 ק""מ ריצה",,28538,8583,9
מרוץ נס ציונה 2018,16/03/2018,10k,10K,28558,8589,328
מרוץ דימונה 2018,16/03/2018,21k,חצי מרתון,28544,8585,53
Challenge 24Hr,15/03/2018,Ultra 24h,,28562,8590,26
Challenge 24Hr,15/03/2018,Ultra 12h,,28563,8590,9
מרוץ עומר 2018,10/03/2018,"3  ק""מ",,28525,8578,83
מרוץ אבן יהודה 2018,10/03/2018,10KM,10K,28512,8571,67
מרוץ עומר 2018,10/03/2018,"2 ק""מ",2K,28524,8578,183
"מרוץ כפר סבא ע""ש רס""ל זיו בלאלי ז""ל",10/03/2018,"ריצה 10 ק""מ",10K,28529,8580,780
מרוץ עומר 2018,10/03/2018,"5 ק""מ",5K,28523,8578,55
"מרוץ כפר סבא ע""ש רס""ל זיו בלאלי ז""ל",10/03/2018,אופני יד,,28530,8580,13
מרוץ עומר 2018,10/03/2018,"10 ק""מ",10K,28522,8578,75
מרוץ אבן יהודה 2018,10/03/2018,1.6KM,,28515,8571,220
מרוץ אבן יהודה 2018,10/03/2018,02KM,2K,28514,8571,580
מרוץ אבן יהודה 2018,10/03/2018,05KM,5K,28513,8571,268
Jerusalem Marathon,09/03/2018,10 KM,10K,28497,8568,8121
Jerusalem Marathon,09/03/2018,Half Marathon,חצי מרתון,28496,8568,4098
מרוץ בבלי 2018,09/03/2018,800,,28502,8569,333
Jerusalem Marathon,09/03/2018,Marathon,מרתון,28495,8568,1260
מרוץ בבלי 2018,09/03/2018,1200,,28501,8569,294
מרוץ בבלי 2018,09/03/2018,3000,,28500,8569,95
מרוץ בבלי 2018,09/03/2018,5000,5K,28499,8569,58
Jerusalem Marathon,09/03/2018,5 KM,5K,28498,8568,5283
רצים לדרום הפורח,03/03/2018,"5 ק""מ גברים",5K,28446,8557,38
רצים לדרום הפורח,03/03/2018,"5 ק""מ נשים",5K,28445,8557,52
רצים לדרום הפורח,03/03/2018,"14 ק""מ גברים",,28444,8557,43
רצים לדרום הפורח,03/03/2018,"14 ק""מ נשים",,28443,8557,26
רצים לדרום הפורח,03/03/2018,"22 ק""מ גברים",,28442,8557,24
רצים לדרום הפורח,03/03/2018,"22 ק""מ נשים",,28441,8557,10
מרוץ עיר האבות ה-10,23/02/2018,02KM,2K,28170,8285,47
מרתון סמסונג תל-אביב 2018,23/02/2018,"10 ק""מ",10K,28163,8283,13774
מרתון סמסונג תל-אביב 2018,23/02/2018,אופני יד,,28164,8283,56
מרתון סמסונג תל-אביב 2018,23/02/2018,"5 ק""מ",5K,28165,8283,2
מרוץ עיר האבות ה-10,23/02/2018,21.1KM,,28167,8285,14
מרוץ עיר האבות ה-10,23/02/2018,10KM,10K,28168,8285,33
מרתון סמסונג תל-אביב 2018,23/02/2018,מרתון,מרתון,28161,8283,2168
מרוץ עיר האבות ה-10,23/02/2018,05KM,5K,28169,8285,88
מרתון סמסונג תל-אביב 2018,23/02/2018,חצי מרתון,חצי מרתון,28162,8283,8769
אליפות ישראל במרוצי שדה,16/02/2018,"ילדים 14-15 2,700מ",,27858,8249,154
מירוץ הכלניות החמישי,16/02/2018,5k,5K,27851,8248,262
מרוץ אור יהודה 2018,16/02/2018,5K,5K,27847,8247,220
אליפות ישראל במרוצי שדה,16/02/2018,"ילדות 12-13, 1150 מטר",,27859,8249,155
אליפות ישראל במרוצי שדה,16/02/2018,"נוער עד 19  7,700מ",,27853,8249,23
אליפות ישראל במרוצי שדה,16/02/2018,"ילדים  12-13, 2000 מטר",,27860,8249,203
אליפות ישראל במרוצי שדה,16/02/2018,"נערות 19  6,400מ",,27854,8249,13
אליפות ישראל במרוצי שדה,16/02/2018,"בוגרים ארוך,  10,200מ",,27852,8249,73
אליפות ישראל במרוצי שדה,16/02/2018,"ילדות עד 11, 1150 מטר",,27861,8249,83
אליפות ישראל במרוצי שדה,16/02/2018,"קדטים 17 3,950מ",,27855,8249,77
מירוץ הכלניות החמישי,16/02/2018,15k,15K,27848,8248,95
אליפות ישראל במרוצי שדה,16/02/2018,"ילדים עד 11, 1150 מטר",,27862,8249,87
אליפות ישראל במרוצי שדה,16/02/2018,"קדטיות 17  2,700מ",,27856,8249,51
מירוץ הכלניות החמישי,16/02/2018,10k,10K,27849,8248,137
אליפות ישראל במרוצי שדה,16/02/2018,"ילדות 14-15  2,000מ",,27857,8249,150
מירוץ הכלניות החמישי,16/02/2018,2k,2K,27850,8248,166
מרוץ אור יהודה 2018,16/02/2018,10K,10K,27846,8247,412
מרוץ נתיבות 2018,09/02/2018,5K,5K,27844,8246,131
מרוץ לוד 2018,09/02/2018,5k,5K,27838,8244,269
מרוץ לוד 2018,09/02/2018,10k,10K,27839,8244,331
מרוץ לוד 2018,09/02/2018,"5k מג""ב",5K,27840,8244,367
מרוץ לוד 2018,09/02/2018,2.3k,,27841,8244,91
מרוץ נתיבות 2018,09/02/2018,10k,10K,27845,8246,123
מרוץ ירוחם 2018,02/02/2018,10k,10K,27842,8245,151
מרוץ ירוחם 2018,02/02/2018,5k,5K,27843,8245,175
ישראמן 2018,26/01/2018,ISRAMAN 113,8,27662,8215,710
ישראמן 2018,26/01/2018,ISRAMAN 113 Relay,,27661,8215,163
ישראמן 2018,26/01/2018,ISRAMAN 226 Relay,,27663,8215,29
ישראמן 2018,26/01/2018,ISRAMAN 226,7,27664,8215,164
מרוץ משמר העמק ה-2,20/01/2018,"4 ק""מ",,27552,8198,50
מרוץ משמר העמק ה-2,20/01/2018,"8 ק""מ",,27551,8198,29
"מרוץ הבית ה-3 ע""ש עומר מנוס",19/01/2018,"21.1 ק""מ ריצה תחרותית",חצי מרתון,27496,8162,214
"מרוץ הבית ה-3 ע""ש עומר מנוס",19/01/2018,"10 ק""מ ריצה תחרותית",10K,27494,8162,388
"מרוץ הבית ה-3 ע""ש עומר מנוס",19/01/2018,"5 ק""מ ריצה תחרותית",5K,27495,8162,163
International Tiberias Winner Marathon 2018,07/01/2018,10km,10K,27483,8157,787
International Tiberias Winner Marathon 2018,07/01/2018,Half Marathon,חצי מרתון,27482,8157,1261
International Tiberias Winner Marathon 2018,07/01/2018,Marathon,מרתון,27481,8157,1359
מרוץ הוד השרון ה-9,29/12/2017,"5 ק""מ ריצה תחרותית",5K,27212,7891,415
מרוץ הוד השרון ה-9,29/12/2017,"10 ק""מ ריצה תחרותית",10K,27211,7891,478
מרוץ התחתונים ה-7,29/12/2017,5k,5K,27492,8161,509
מרוץ התחתונים ה-7,29/12/2017,10k,10K,27493,8161,509
"מרוץ הערבה ע""ש יוני פרידמן",26/12/2017,חצי מרתון,חצי מרתון,27478,8156,77
"מרוץ הערבה ע""ש יוני פרידמן",26/12/2017,5קמ,,27480,8156,127
"מרוץ הערבה ע""ש יוני פרידמן",26/12/2017,10קמ,,27479,8156,120
Christmas run 2017,22/12/2017,"10 ק""מ ריצה תחרותית",10K,27103,7878,170
Christmas run 2017,22/12/2017,"2 ק""מ ריצה תחרותית",2K,27105,7878,239
Christmas run 2017,22/12/2017,"5 ק""מ ריצה תחרותית",5K,27104,7878,229
מרוץ אלישע דגניה ב' 2017,16/12/2017,"10 ק""מ",10K,27100,7877,22
מרוץ אלישע דגניה ב' 2017,16/12/2017,"5 ק""מ",5K,27101,7877,26
מרוץ אלישע דגניה ב' 2017,16/12/2017,1500 מטר,,27102,7877,64
מרוץ יקנעם ה-1,15/12/2017,"5 ק""מ ריצה תחרותית",5K,27099,7876,248
מרוץ יקנעם ה-1,15/12/2017,"10 ק""מ ריצה תחרותית",10K,27098,7876,250
"מרוץ הלפיד בסוסיא ע""ש דרור ויינברג 2017",11/12/2017,"10 ק""מ ריצה תחרותית",10K,27097,7875,129
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"5 ק""מ",5K,26674,7829,102
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"2.5 ק""מ",5K,26675,7829,11
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"24 ק""מ",,26676,7829,98
מרוץ שליחים כרמל טרייל יום III,09/12/2017,יחידים,,26671,7829,15
מרוץ שליחים כרמל טרייל יום III,09/12/2017,זוגות מלא,,26672,7829,4
מרוץ שליחים כרמל טרייל יום III,09/12/2017,"10 ק""מ",10K,26673,7829,59
Moon Run 2017,08/12/2017,21k day,,26662,7828,73
Moon Run 2017,08/12/2017,5k,5K,26663,7828,81
מרוץ שליחים כרמל טרייל יום II,08/12/2017,יחידים,,26657,7827,16
Moon Run 2017,08/12/2017,21k,,26664,7828,84
מרוץ שליחים כרמל טרייל יום II,08/12/2017,זוגות מלא,,26658,7827,4
מרוץ שליחים כרמל טרייל יום II,08/12/2017,"42 ק""מ",,26659,7827,7
Moon Run 2017,08/12/2017,35k,,26660,7828,33
Moon Run 2017,08/12/2017,10k,10K,26661,7828,115
מרוץ שליחים כרמל טרייל יום I,07/12/2017,יחידים,,26655,7826,17
מרוץ שליחים כרמל טרייל יום I,07/12/2017,זוגות מלא,,26656,7826,4
חצי מרתון עמק המעיינות,01/12/2017,חצי מרתון,חצי מרתון,26569,7764,2478
חצי מרתון עמק המעיינות,01/12/2017,"6 ק""מ",,26570,7764,219
חצי מרתון עמק המעיינות,01/12/2017,אופני יד 1/2 מרתון,מרתון,26571,7764,46
חצי מרתון עמק המעיינות,01/12/2017,שליחים,,26572,7764,11
מרוץ בניה ה-12 בקרני שומרון,01/12/2017,"10 ק""מ ריצה תחרותית",10K,26576,7765,211
ליגת מרוצי השדה מחזור 2,28/11/2017,"הקפות 4 - 4.7 ק""מ",,26553,7762,19
ליגת מרוצי השדה מחזור 2,28/11/2017,"הקפות 2 - 2.35 ק""מ",,26554,7762,10
ליגת מרוצי השדה מחזור 2,28/11/2017,"הקפות 7 - 8.22 ק""מ",,26555,7762,18
מרוץ עמיצור 2017,28/11/2017,"5 ק""מ ריצה תחרותית",5K,26654,7825,295
ליגת מרוצי השדה מחזור 2,28/11/2017,"הקפות 5 - 5.87 ק""מ",,26556,7762,14
