@RELATION OutputFromProcess

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL

@DATA
1189,13784,0.35836038961038963,0.11299504327382193,42195,12790,0.31732232123451426,-14.0,15000,4208,0.17340837143862117,-287.0
1192,12498,0.2713744588744589,-0.025383259665579083,15000,5110,0.3334773218142549,-482.0,42195,12509,0.2600381152658211,-260.0
1194,13991,0.36375016471208327,0.15851727254180126,21097,6039,0.23555209043952832,-21.0,10000,2728,0.17491369390103567,-13.0
1195,11346,0.21420689655172415,0.010016463342457066,21097,5040,0.12926577042399173,-35.0,21097,6486,0.27911509599454243,-280.0
1198,14667,0.4180871212121212,-0.1427639775190256,42195,13091,0.3391291748170688,-14.0,42195,15202,0.7825730226452248,-98.0
1199,12341,0.2847931609070492,0.08566428791065575,21097,5617,0.19556474778811905,-84.0,15000,3903,0.20269299820466785,-20.0
1206,03:46:30,13590,0.25179234689470503,01:16:20,10000,4580,0.9480048367593712,03:51:39,42195,13899,0.3668954487905644,-280.0
1211,12668,0.29555469655972166,-0.046799200809373276,10000,4014,0.4355188884064264,-112.0,21000,6440,0.24918890633176347,-231.0
1212,14891,0.7315392189038399,0.3855495438382627,10000,3870,0.37720615846789335,-17.0,21097,7514,0.3147731916632611,-228.0
1220,13211,0.3428275862068966,0.13583083743615992,10000,2679,0.1422872340425532,-51.0,15000,4681,0.2717062634989201,-4.0
1221,17732,0.6870506378044067,0.3382434119921748,15000,4205,0.24423514127963625,-21.0,42195,14814,0.4533793103448276,-28.0
1223,16974,0.5741341991341992,0.2610273036148404,42195,12165,0.27204230964283127,-14.0,21097,7023,0.3541714813958863,-112.0
1224,16978,0.5744047619047619,0.11466307684689697,42195,16213,0.5653118887198435,-14.0,21097,7023,0.3541714813958863,-112.0
1226,14404,0.4297642056436026,0.1157870983726807,21097,6845,0.3366655176375962,-84.0,15000,4817,0.29128869690424763,-20.0
1231,16150,0.5607476635514018,0.09524950809424204,42195,15688,0.4720863766275008,-343.0,42195,14781,0.4589099342868187,-21.0
1232,14669,0.4433793103448276,0.010243833923673618,04:38:19,42195,16699,0.520342057527857,03:50:16,42195,13816,0.3459288953144509,-266.0
1233,16149,0.5606752155328552,0.08645868745189533,42195,16122,0.4996506827564306,-343.0,42195,14650,0.448782373405489,-21.0
1235,15056,0.758615031178208,0.3919909316200708,42195,13584,0.368551724137931,-315.0,42195,13866,0.36469647497834345,-364.0
1236,12543,0.2967586206896552,0.05660898128179995,15000,4376,0.22778977681785456,-55.0,21097,6213,0.25250950199785593,-260.0
1237,14607,0.4454580595284113,0.29499101885844947,00:44:41,10000,2681,0.12133209129017233,00:52:02,10000,3122,0.17960199004975125,-120.0
1242,17482,0.608495670995671,-0.3242925628195019,21097,8606,0.8770631758679568,-14.0,42195,16457,0.9885132917623892,-98.0
1243,12503,0.2965297399116134,0.09185026198511112,21097,6072,0.24784557049293346,-84.0,21097,5615,0.16151338536007112,-280.0
1244,14996,0.42813591616386154,0.16445652039320902,21097,5795,0.2117727317025631,-385.0,42195,13129,0.31558605983874194,-49.0
1246,15982,0.4907589711019371,0.1655825192080026,42195,13543,0.33423375938858874,-364.0,42195,13137,0.31611914439928035,-70.0
1247,14452,0.43773092805911756,-0.1356717628645721,42195,18960,0.7903112567282939,-140.0,42195,13868,0.3564941251190854,-203.0
1248,12973,0.2996506827564306,0.09483944473336992,42195,11234,0.20648275862068965,-70.0,21000,6000,0.20313971742543172,-294.0
1252,13476,0.3670216619575455,-0.047163438987490425,42195,14245,0.3804382343601143,-343.0,42195,14639,0.44793196752995745,-21.0
1253,12620,0.29184383455740237,0.049878045387848347,42195,11617,0.23289655172413792,-49.0,42195,12372,0.2510350266149701,-315.0
1254,13210,0.3427586206896552,0.0524508951164821,21000,6606,0.26656200941915226,-294.0,42195,13106,0.31405344172719396,-70.0
1255,12553,0.29744827586206896,-0.06604998748029739,15000,4222,0.28522671867381766,-301.0,21097,8155,0.4417698080109151,-14.0
1256,12666,0.29540007730962503,0.10955507165687095,21097,5939,0.22351371951219512,-77.0,10000,2710,0.14817629179331307,-23.0
1258,14147,0.3740281987086573,0.07002172115496746,42195,13012,0.29309325096931066,-21.0,42195,13119,0.3149197041380689,-49.0
1259,14569,0.4010161956176564,0.053814983037133446,42195,14644,0.4416551724137931,-70.0,21000,6474,0.25274725274725274,-294.0
1260,17299,0.5961174242424242,0.26451739197884316,21097,6565,0.3044927036654027,-98.0,15000,4772,0.3587073608617594,-20.0
1265,16046,0.4948237535725627,0.19349143060309848,42195,13552,0.36389640510243526,-21.0,21097,5993,0.23876824083649317,-84.0
1268,15233,0.44318831375039697,-0.014769539174706026,42195,15290,0.49826053343641286,-21.0,42195,14296,0.41765517241379313,-49.0
1272,16644,0.5518127705627706,0.02797309560327277,42195,14965,0.47489676157357097,-14.0,42195,17101,0.5727825883454247,-140.0
1275,14716,0.7028224483098129,0.5223060695341271,21097,5785,0.21486843617143514,-350.0,10000,2696,0.14616432137993646,-182.0
1278,16945,0.5519212448396317,0.17834846049349784,42195,13181,0.3352145342095091,-21.0,42195,14213,0.41193103448275864,-49.0
1285,12233,0.2753793103448276,0.07564328922651709,21097,5849,0.2222222222222222,-35.0,15000,4025,0.17724982001439885,-20.0
1286,14409,0.4346156632616098,0.13170904260561528,21097,6064,0.24692634723658508,-84.0,15000,4773,0.358886894075404,-20.0
1288,13637,0.5257630456186413,0.24825748871805275,42195,12442,0.2780827212988017,-266.0,03:51:21,42195,13881,0.2769283925023754,-98.0
1292,15299,0.49909439976816633,0.15205747318076596,15000,4320,0.2775583482944345,-104.0,04:18:17,42195,15497,0.41651550488036626,-358.0
1294,13719,0.3778620689655172,0.07138190448480064,21000,6470,0.25232862375719517,-294.0,42195,13805,0.36063170520423804,-70.0
