ImprovementRate,MarathonResultInSeconds,MarathonResultInSecondsNormalized,RaceOneKM,RaceOneResultInSeconds,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwoKM,RaceTwoResultInSeconds,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,Success
-0.01817699,12431,0.265227056,42195,12154,0.269931034,-70,42195,12976,0.296877059,-294,Y
0.147979665,14877,0.466331658,42195,12515,0.294827586,-49,42195,13659,0.3418764,-294,N
0.067504514,11061,0.192059697,21097,5016,0.126508101,-84,21097,5019,0.122602265,-28,N
0.343195667,17603,0.616680195,10000,3162,0.244273376,-129,15000,4565,0.30269568,-270,N
0.097684071,13963,0.362527787,42195,13491,0.359180518,-21,21097,6295,0.170506912,-98,N
0.208695497,14411,0.391421795,10000,2685,0.165017261,-34,21097,5761,0.200435335,-14,N
0.088352851,13230,0.344137931,21097,6494,0.296334597,-35,10000,3063,0.215235562,-16,N
0.023523299,11976,0.257655172,21097,5358,0.165804895,-35,42195,12932,0.302458853,-329,N
0.153570855,12848,0.321524306,5000,1322,0.123691722,-119,21097,5847,0.212215181,-209,N
0.044052105,13200,0.347026009,10000,2697,0.156965828,-115,42195,16043,0.44898198,-25,N
0.167711676,13847,0.56022317,15000,4591,0.326211849,-6,42195,16127,0.45881114,-36,N
-0.10447752,15100,0.382223374,10000,5009,0.584916413,-2,42195,14223,0.388485373,-313,Y
0.198171804,14159,0.408206897,21097,6235,0.266574744,-35,10000,2738,0.153495441,-16,N
-0.200114391,12816,0.31920597,42195,14970,0.74450279,-98,42195,12505,0.294137931,-315,Y
0.088615349,14804,0.417314534,21097,6382,0.268979632,-21,42195,14222,0.388418738,-49,N
0.202043385,17912,0.667680786,21097,7146,0.277176134,-203,10000,5333,0.654098668,-21,N
0.041748041,14259,0.381327406,10000,2814,0.213163289,-70,10000,4383,0.465995441,-51,N
0.045359856,13790,0.38977034,42195,13606,0.338384504,-707,42195,13652,0.350436463,-70,N
0.185281968,15736,0.475134963,21097,7976,0.394744641,-21,15000,4574,0.184961349,-154,N
0.144024136,16035,0.537586207,42195,15094,0.436421136,-294,42195,13656,0.350703005,-70,N
-0.020774799,13412,0.353073058,42195,13407,0.325273422,-343,42195,14980,0.422422291,-21,Y
0.096143447,12399,0.288995146,21097,5762,0.212225669,-84,21097,6131,0.173477728,-259,N
-0.127710256,11386,0.196443757,15000,4067,0.221825268,-21,42195,14424,0.426482759,-28,Y
-0.002204456,12490,0.295587916,42195,13154,0.446504759,-98,10000,2655,0.149079985,-17,Y
0.134308453,13999,0.404911976,10000,2912,0.197333834,-115,42195,13293,0.343873212,-249,N
0.092430365,16163,0.463023637,42195,14224,0.379104478,-203,10000,3836,0.362082067,-121,N
-0.190311579,14665,0.408156542,10000,4097,0.851430811,-21,42195,13578,0.345505431,-49,Y
0.019738651,16554,0.508776036,42195,15981,0.490695459,-203,42195,15307,0.48737931,-70,N
0.111178651,14096,0.405952841,21097,6419,0.287716879,-84,21000,6943,0.301831502,-259,N
0.092885539,13313,0.32124484,42195,12309,0.28062069,-70,15000,4017,0.176097912,-55,N
0.243186707,14929,0.461310345,21097,5847,0.221992416,-35,15000,4282,0.21425486,-20,N
0.24013215,15366,0.504136065,21097,5551,0.187993373,-364,42195,13726,0.340014458,0,N
0.702478938,16273,0.958319659,42195,13199,0.218018485,-364,42195,12800,0.293662957,-315,N
0.020597487,14221,0.387919372,42195,13577,0.374338912,-14,42195,13928,0.360304859,-343,N
0.05681141,14200,0.386498918,42195,13789,0.389697892,-14,21097,6262,0.269677123,-84,N
0.020884548,12398,0.286758621,21097,5946,0.233367804,-35,21097,6233,0.298380341,-28,N
-0.238255324,12757,0.314931537,42195,14166,0.612569741,-98,10000,4491,0.49380398,-17,Y
0.066187518,12820,0.315862069,21000,6096,0.213186813,-294,10000,2655,0.286162289,-21,N
0.103516162,15479,0.458812321,42195,12846,0.317655172,-70,42195,14434,0.392937146,-294,N
0.07805634,13901,0.366274351,42195,12289,0.279241379,-427,42195,12853,0.297194643,-364,N
0.036571067,12502,0.296457292,42195,15360,0.369061549,-140,10000,2818,0.1507109,-160,N
0.14443655,13780,0.382068966,21000,5749,0.176870748,-294,42195,12871,0.298394083,-70,N
0.172193511,12480,0.292413793,21097,5986,0.138144114,-49,5000,1278,0.102296451,-55,N
0.068367055,12381,0.287691082,42195,12563,0.287437186,-364,10000,2851,0.151210868,-153,N
0.001659702,12559,0.300586829,42195,13098,0.307589711,-343,42195,12749,0.290264543,-434,N
-0.101667442,13552,0.334826723,42195,17397,0.581257804,-21,42195,12771,0.291730526,-49,Y
-0.244361871,14669,0.407367418,21097,6556,0.303458578,-105,5000,3368,1,-182,Y
0.098104806,13423,0.357448276,21000,5843,0.18670853,-294,42195,13375,0.33197841,-70,N
0.13898822,14153,0.407793103,10000,2958,0.195302843,-99,42195,13530,0.342306923,-265,N
0.105521421,13023,0.329862069,21000,6088,0.212349555,-294,21097,6047,0.236331742,-21,N
0.014489943,13718,0.33948873,15000,4397,0.3081571,-21,42195,13523,0.341840474,-28,N
0.10816515,15059,0.444602273,42195,14670,0.453524596,-14,21097,5824,0.21934965,-84,N
0.067113028,12809,0.315103448,15000,4460,0.155339806,-273,42195,13505,0.340641034,-91,N
0.25026798,14013,0.405926248,10000,2568,0.136919315,-335,21097,6140,0.174397221,-8,N
0.002641207,12654,0.294472362,21097,6130,0.244420622,-364,42195,13484,0.339241687,-49,N
-0.015594297,13232,0.321022727,42195,14902,0.470332536,-14,21097,6419,0.202901512,-343,Y
0.01030908,14022,0.588939941,10000,5130,0.771842355,-251,42195,15137,0.385419366,-113,N
0.028756347,11929,0.258216633,15000,3872,0.197127469,-57,42195,12036,0.261793103,-309,N
0.088269993,12734,0.315733067,21097,5943,0.233023095,-37,15000,4010,0.221903052,-20,N
0.06604679,13175,0.345214808,15000,4158,0.248473968,-104,42195,12733,0.309862069,-309,N
0.126437981,14550,0.444830834,15000,4716,0.348653501,-104,42195,12717,0.288132205,-673,N
0.084743239,13042,0.324468496,15000,4608,0.184664157,-322,10000,2677,0.294786358,-42,N
0.138370648,15736,0.475134963,21097,9309,0.526424973,-21,21097,5538,0.147103659,-77,N
0.157407542,13988,0.372159091,21097,6257,0.269102608,-98,21097,6003,0.16040049,-259,N
0.089831981,12595,0.300344828,21097,6004,0.240032173,-35,15000,4051,0.180993521,-20,N
-0.041677954,12252,0.276689655,21097,5731,0.208663679,-35,10000,4249,0.42807154,-259,Y
-0.071740761,12222,0.27462069,21097,5957,0.222534223,-169,21097,7336,0.470188679,-110,Y
0.078482258,12883,0.293934582,42195,12167,0.256822574,-21,15000,4003,0.174082073,-104,N
0.060856914,13406,0.327151477,42195,12263,0.264244298,-21,42195,12131,0.268344828,-49,N
-0.214457659,14676,0.418695887,21097,8092,0.779548473,-14,42195,15298,0.486758621,-413,Y
0.018360573,12750,0.288419913,21097,5652,0.316638209,-14,21097,5892,0.223480471,-112,N
-0.043559619,13663,0.380569441,42195,15297,0.447253096,-343,42195,14032,0.401005025,-21,Y
0.284734567,16804,0.615307306,42195,16467,0.56737931,-49,15000,3914,0.093766167,-91,N
-0.215669179,12439,0.289586207,21097,7133,0.369757555,-35,42195,18093,0.640753218,-14,Y
0.095632531,13524,0.361731736,21000,6463,0.251596023,-343,42195,12604,0.280602386,-70,N
0.037081849,12731,0.300425203,42195,12853,0.318137931,-49,21097,5730,0.208548776,-35,N
0.142735942,14630,0.415584416,42195,13417,0.362747229,-14,21097,5832,0.182949718,-364,N
0.393566596,15782,0.533509574,5000,1511,0.054676259,-22,21097,5875,0.225209698,-15,N
0.011235175,12670,0.283008658,42195,12110,0.266896552,-427,42195,12669,0.276650415,-294,N
0.043567594,13305,0.325960498,42195,12968,0.332452129,-61,21097,5937,0.232333678,-37,N
0.062120998,14695,0.409018736,42195,12639,0.293312717,-21,42195,14047,0.400482759,-49,N
0.072261544,13161,0.33937931,21097,6483,0.295070665,-35,15000,4455,0.239164867,-20,N
-0.032154512,13329,0.356371803,42195,13715,0.538562521,-98,42195,13436,0.23849011,-364,Y
0.064858675,15858,0.498647186,21097,6957,0.388123227,-246,42195,15804,0.479453795,-111,N
0.104591336,14145,0.374087012,21000,6531,0.258712716,-364,42195,12817,0.280278636,-21,N
0.10043036,13311,0.355067739,15000,4188,0.253859964,-104,21097,6933,0.255414794,-239,N
0.060711382,14516,0.397650048,42195,13629,0.339899855,-364,42195,13405,0.333977477,-70,N
