@relation WekaTry2

@attribute ﻿MarathonResultInSecondsNormalized numeric
@attribute ImprovementRate numeric
@attribute RaceOneKM {5000,10000,15000,21000,21097,42195}
@attribute RaceOneResultInSecondsNormalized numeric
@attribute TimeBetweenMarathonAndRaceOne numeric
@attribute RaceTwoKM {5000,10000,15000,21000,21097,42195}
@attribute RaceTwoResultInSecondsNormalized numeric
@attribute TimeBetweenRaceOneAndRaceTwo numeric
@attribute Success {Y,N}

@data
0.557701,0.229668,21097,0.394547,-21,21097,0.261519,-84,N
0.480828,-0.028671,42195,0.456792,-21,42195,0.562204,-49,Y
0.522994,0.06581,21097,0.355229,-21,42195,0.559139,-49,N
0.667586,0.366019,21097,0.357693,-35,10000,0.245441,-16,N
0.508465,0.118049,42195,0.462897,-49,21097,0.317936,-35,N
0.655931,0.231469,21097,0.426749,-35,15000,0.422174,-20,N
0.701353,0.313625,15000,0.381293,-21,21097,0.394164,-91,N
0.50058,0.124609,15000,0.38454,-21,10000,0.367401,-79,N
0.587089,0.222003,21097,0.394117,-84,10000,0.336056,-16,N
0.485233,0.134549,15000,0.433167,-14,21097,0.268201,-7,N
0.661885,0.229894,21097,0.491899,-84,21097,0.372082,-28,N
0.545996,0.077332,42195,0.597099,-61,21097,0.340228,-37,N
0.465862,0.169851,21097,0.331954,-35,10000,0.260068,-16,N
0.589838,-0.003831,42195,0.594511,-21,42195,0.592828,-49,Y
0.513259,0.218579,21097,0.293462,-84,15000,0.295896,-20,N
0.50162,0.085792,21097,0.344759,-21,42195,0.486897,-49,N
0.64812,0.324857,21097,0.330528,-98,10000,0.315997,-17,N
0.505176,0.254376,10000,0.275166,-6,21097,0.226435,-113,N
0.382141,-0.04873,42195,0.413034,-49,10000,0.448708,-51,Y
0.608793,0.159591,5000,0.382778,-22,42195,0.515626,-27,N
0.560114,0.285967,10000,0.267492,-21,10000,0.280802,-49,N
0.567413,0.144253,42195,0.569377,-47,10000,0.276943,-68,N
0.429586,0.145751,15000,0.251836,-55,21097,0.315834,-8,N
0.601596,-0.028842,42195,0.660509,-14,21097,0.600368,-84,Y
0.555668,0.070575,15000,0.373498,-42,42195,0.59669,-28,N
0.486561,0.128141,21097,0.376996,-84,21097,0.339843,-28,N
0.462,0.143947,42195,0.364257,-49,15000,0.27185,-6,N
0.53984,0.043921,42195,0.593241,-61,21097,0.398598,-37,N
0.465713,0.112548,21097,0.264506,-84,42195,0.441824,-14,N
0.426138,0.166473,21097,0.267494,-35,15000,0.251836,-20,N
0.49424,0.094924,42195,0.541793,-49,10000,0.256839,-51,N
0.647457,0.137168,42195,0.607042,-14,21097,0.413536,-84,N
0.501493,0.072004,5000,0.209732,-14,42195,0.649246,-7,N
0.522664,0.067475,42195,0.428337,-21,42195,0.482042,-49,N
0.637446,0.197226,42195,0.604724,-14,21097,0.275717,-98,N
0.473241,0.157898,21097,0.315064,-35,15000,0.315623,-20,N
0.534534,0.155706,10000,0.313924,-13,15000,0.443731,-8,N
0.51464,-0.069768,42195,0.569849,-21,42195,0.598966,-49,Y
0.645767,0.157682,15000,0.394446,-21,42195,0.581724,-28,N
0.488207,0.214754,21097,0.339078,-35,10000,0.207827,-16,N
0.491521,0.102044,42195,0.38392,-21,42195,0.395034,-49,N
0.532359,0.013683,42195,0.554387,-21,42195,0.482966,-49,N
0.384438,-0.066374,21097,0.432977,-27,42195,0.468648,-22,Y
0.543951,0.261123,10000,0.291505,-49,10000,0.274149,-7,N
0.338055,-0.084071,42195,0.377604,-21,42195,0.466649,-49,Y
0.397863,-0.166489,42195,0.388466,-14,42195,0.740236,-98,Y
0.444525,-0.050396,42195,0.525859,-21,42195,0.463983,-49,Y
0.420271,-0.126425,42195,0.425193,-47,42195,0.668198,-51,Y
0.456648,-0.008553,15000,0.469283,-7,42195,0.461118,-63,Y
0.420874,0.1484,15000,0.270218,-21,15000,0.27473,-83,N
0.610592,0.199677,21097,0.376767,-84,15000,0.445063,-20,N
0.377889,0.09568,21097,0.271532,-77,21097,0.292888,-7,N
0.536458,-0.25509,42195,0.952576,-112,15000,0.630521,-6,Y
0.519212,0.235439,21097,0.272646,-21,15000,0.294901,-21,N
0.462865,0.05037,42195,0.396725,-14,42195,0.428265,-47,N
0.557955,0.164476,21097,0.378544,-21,42195,0.408414,-49,N
0.553255,0.058425,42195,0.567453,-21,42195,0.422207,-49,N
0.493371,0.079883,21097,0.545058,-14,21097,0.281918,-98,N
0.420023,0.200934,21097,0.264736,-84,10000,0.173442,-16,N
0.460843,0.153026,42195,0.350207,-49,21097,0.265426,-35,N
0.448207,0.049703,21097,0.359876,-35,10000,0.437131,-31,N
0.441791,0.01968,42195,0.419655,-70,21097,0.424566,-35,N
0.389486,0.106346,21097,0.274771,-77,21097,0.291509,-7,N
0.478311,0.07597,42195,0.421647,-21,42195,0.383034,-49,N
0.464338,0.094345,15000,0.442224,-14,10000,0.297761,-63,N
0.575758,-0.153144,42195,0.484387,-14,42195,0.973416,-98,Y
0.511403,0.212751,42195,0.371241,-49,10000,0.226064,-51,N
0.447444,0.111393,42195,0.36669,-70,21097,0.305412,-35,N
0.341379,0.142485,21097,0.215788,-35,15000,0.182001,-20,N
0.455915,0.130997,21097,0.332989,-84,21097,0.316848,-28,N
0.394538,0.084699,42195,0.352918,-21,42195,0.266759,-49,N
0.384461,0.078065,42195,0.375862,-49,21097,0.23693,-35,N
0.372227,-0.109826,42195,0.38977,-14,42195,0.574335,-98,Y
0.85576,0.6281,15000,0.266248,-6,10000,0.189072,-11,N
0.541631,0.209941,42195,0.398069,-49,21097,0.265311,-35,N
0.50369,0.075258,21097,0.450054,-21,42195,0.40681,-49,N
0.330357,-0.195207,42195,0.308266,-14,42195,0.742862,-98,Y
