Marathon,RaceOne,RaceOneKM,RaceOneResultInSecondsNormalized,TimeBetweenMarathonAndRaceOne,RaceTwo,RaceTwoKM,RaceTwoResultInSecondsNormalized,TimeBetweenRaceOneAndRaceTwo,MarathonResultInSeconds,MarathonResultInSecondsNormalized,ImprovementRate,ImprovementClass
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.191680183,-14,חצימרתוןעמקהמעיינות,21097,0.174882225,-84,13593,0.345441017,0.162159813,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.284979491,-14,DesertMarathon,42195,0.607975057,-98,14179,0.385078463,-0.061398811,Success
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.259261671,-21,מרתוןטבריהWinner,42195,0.27005277,-49,12685,0.281359162,0.016701941,Failure
JerusalemMarathon,חצימרתוןעמקהמעיינות,21097,0.223371251,-98,מרוץאייל,15000,0.1977028,-20,13712,0.35349026,0.142953234,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.161093876,-35,ספורטיאדהריצהואופנייםיוםI,5000,0.083665339,-30,11640,0.224274406,0.101894799,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.180326305,-21,מרוץראשוןלציון,15000,0.161416044,-21,12224,0.252080025,0.081208851,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,42195,0.4663064,-21,מרתוןטבריהWinner,42195,0.341556728,-49,16444,0.52010162,0.116170055,Failure
JerusalemMarathon,מרתוןסמסונגתל-אביב,21097,0.325541456,-21,מרתוןטבריהWinner,42195,0.400791557,-49,15694,0.47246745,0.109300944,Failure
מרתוןטבריהWinner,מרוץאייל,15000,0.31873654,-55,מרוץחבר,10000,0.204522912,-36,15785,0.497691293,0.236061567,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.358726876,-84,מרוץאייל,15000,0.309834889,-20,15686,0.473728758,0.139447876,Failure
מרתוןסמסונגתל-אביב,מרוץראשוןלציון,15000,0.211594674,-21,חצימרתוןעמקהמעיינות,21097,0.241296105,-63,13484,0.330360049,0.10391466,Failure
מרתוןטבריהWinner,חצימרתוןעמקהמעיינות,21097,0.284614501,-35,בשבילהבניםהדרוזים,10000,0.216505047,-70,14446,0.409366755,0.158806981,Failure
מרתוןסמסונגתל-אביב,מרוץאייל,15000,0.150323044,-104,מרוץהלילהשלתל-אביב,10000,0.106834397,-11,12153,0.243700762,0.115122041,Failure
מרתוןסמסונגתל-אביב,חצימרתוןעמקהמעיינות,21097,0.316787315,-84,מרוץאייל,15000,0.270926059,-20,14094,0.370076177,0.07621949,Failure
